SYMBOL,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
ALPK2,9.2,0,9.2,63.1467120308283,5.98063571155559,2.35,2.55,1.087e-02,9.998e-01,0.0329952345200059,243,0,0,0,1.1,4.4,22.2
SCARB1,18498.1,12122.8,6375.3,0.525889233888499,-0.927169132913137,0.36,-2.55,1.090e-02,9.998e-01,0.0330733645734675,244,9742.8,9217.9,17407.7,5156.4,6357.1,7612.4
PSMD5,13122,8929.2,4192.8,0.469600377789252,-1.09049452580383,0.43,-2.55,1.091e-02,9.998e-01,0.0331100347370608,244,9398.6,11322.6,6066.5,5965.4,4221.6,2391.3
TEX36,9.8,9.8,0,0.0229376851605176,-5.44613638586433,2.14,-2.55,1.092e-02,9.998e-01,0.0331155485668172,244,6,20.4,3.1,0,0,0
SLC35E4,3415.4,2211.9,1203.5,0.543939532106857,-0.878481813960084,0.35,-2.54,1.093e-02,9.998e-01,0.0331451674781605,244,1986.1,1834,2815.5,1105.3,927.5,1577.8
GAPDHP25,16.1,2.1,14,6.79857343852502,2.76523205385154,1.09,2.54,1.093e-02,9.998e-01,0.0331497596927738,245,2,2.1,2.1,11.8,17.6,12.7
SNRPGP15,76,18.2,57.9,3.18379716457812,1.67074842665462,0.66,2.54,1.094e-02,9.998e-01,0.0331832732379687,245,26.2,14.8,13.5,83.5,58.3,31.8
ARHGAP42,51,2.7,48.3,17.5811551564222,4.13595795966283,1.63,2.54,1.096e-02,9.998e-01,0.0332189338219092,245,8.1,0,0,2.1,93.5,49.3
LRIG1,1156.2,825.2,331,0.401446997386163,-1.31671857204095,0.52,-2.54,1.099e-02,9.998e-01,0.0333148519421397,246,489.2,516.9,1469.6,257.9,441.2,293.9
PTPRN2,941.4,656.8,284.6,0.432585549737519,-1.20894262115061,0.48,-2.54,1.100e-02,9.998e-01,0.0333276066816236,246,579.1,492.3,899,239.7,162.8,451.2
VWA5A,480.1,72.1,408,5.64407694630567,2.4967376564853,0.98,2.54,1.101e-02,9.998e-01,0.0333660313452622,246,100,115.3,1,435.5,213.4,575.2
RPL31P63,18.3,2.1,16.2,7.85264150043853,2.97317803471158,1.17,2.54,1.102e-02,9.998e-01,0.0333806653898902,246,2.7,1.4,2.1,5.4,24.2,19.1
KDM4A,2743.7,1677.5,1066.1,0.635554296761025,-0.653912711873233,0.26,-2.54,1.102e-02,9.998e-01,0.0333856867708416,246,1690.2,1576.6,1765.8,907.4,1220.1,1070.9
DMAC1,4905.5,1887.8,3017.6,1.59800818289182,0.676274795867407,0.27,2.54,1.102e-02,9.998e-01,0.0333929068247746,247,2172.7,1748.9,1741.9,2864.5,2680.1,3508.3
PSD,127.9,33.8,94.1,2.81108732567442,1.4911282713492,0.59,2.54,1.104e-02,9.998e-01,0.0334340624074062,247,26.2,19,56.1,69.6,111.1,101.7
GTF2A1,2498.4,1555.2,943.1,0.606590279483838,-0.721205715706725,0.28,-2.54,1.104e-02,9.998e-01,0.0334340624074062,247,1360.1,1805.9,1499.7,1125.7,850.5,853.2
DDX39AP1,7.1,0,7.1,49.1563179532228,5.61930494978486,2.21,2.54,1.104e-02,9.998e-01,0.0334340624074062,247,0,0,0,6.4,5.5,9.5
GOLGA8A,199.8,57.3,142.5,2.47737111612283,1.30881000394372,0.52,2.54,1.105e-02,9.998e-01,0.0334391033026013,247,47.6,85.8,38.5,92,167.2,168.4
NDUFB1P1,11.9,0.8,11.1,14.0290997456089,3.81035052834861,1.5,2.54,1.105e-02,9.998e-01,0.0334391033026013,247,0,1.4,1,11.8,12.1,9.5
CABYR,1915.5,1194.1,721.4,0.604650008624872,-0.725827790398267,0.29,-2.54,1.105e-02,9.998e-01,0.0334475575914778,247,1240,1225,1117.3,813.2,796.6,554.5
RPL35P4,13.6,0.7,12.9,17.7063333424721,4.14619358217133,1.63,2.54,1.106e-02,9.998e-01,0.0334585711314691,247,1.3,0.7,0,12.8,2.2,23.8
TMEM86A,843,235.1,607.9,2.5875690363861,1.37159735425379,0.54,2.54,1.107e-02,9.998e-01,0.0335040041105739,248,177.1,154,374.2,622.8,290.5,910.4
NPC2,8893.5,2506.3,6387.2,2.54846179420729,1.34962672494396,0.53,2.54,1.108e-02,9.998e-01,0.0335330449736741,248,2979.9,2384.6,2154.5,12198.3,3275.4,3687.8
POM121,7537.6,5050.3,2487.4,0.492459880015666,-1.0219218997805,0.4,-2.54,1.109e-02,9.998e-01,0.0335365770601006,248,3895.1,4038.6,7217.1,1737.7,2336.9,3387.5
ZBTB17,4937.3,3406.1,1531.2,0.449550493305841,-1.15344492719938,0.45,-2.54,1.111e-02,9.998e-01,0.033594238609086,248,2341.8,2323.5,5553.1,1043.3,1769.2,1781.1
LINC01088,39.7,6.5,33.2,5.18351071871238,2.37392954596153,0.93,2.54,1.111e-02,9.998e-01,0.033607554253488,249,6.7,1.4,11.4,39.6,18.7,41.3
PPIAP86,10.8,0.6,10.3,18.9797066049346,4.24638578572492,1.67,2.54,1.112e-02,9.998e-01,0.0336295915747872,249,0,0.7,1,13.9,12.1,4.8
MBD2,5494.4,1811.6,3682.8,2.03307684799612,1.02366474844754,0.4,2.54,1.116e-02,9.998e-01,0.0337445786160308,250,1751.3,1187,2496.5,3575,2573.4,4900.1
THBS3,6464.6,2160.9,4303.7,1.99155594296169,0.993896005687454,0.39,2.54,1.116e-02,9.998e-01,0.0337460960884496,250,2002.9,1765.1,2714.7,2839.8,3782.6,6288.8
CCT3,98935.6,59307.4,39628.1,0.668175618811516,-0.581700754030486,0.23,-2.54,1.116e-02,9.998e-01,0.0337477758482528,250,63546.2,55670.8,58705.3,35540.9,40767.7,42575.8
SLC4A7,12534.5,9085.2,3449.3,0.379699737361685,-1.3970690938422,0.55,-2.54,1.117e-02,9.998e-01,0.0337598567923294,250,8154.6,11842.3,7258.7,6632,1596.4,2119.6
RPL24P7,57.8,7.8,50,6.42373840772485,2.68341314354602,1.06,2.54,1.120e-02,9.998e-01,0.0338421117516562,250,12.1,0,11.4,44.9,60.5,44.5
MRPL57,9121.8,3333.1,5788.7,1.73665219682767,0.796308851253685,0.31,2.54,1.122e-02,9.998e-01,0.0338925620688132,251,3529.4,2809.4,3660.5,6113.1,4180.9,7072.1
MIER2,3125.4,2065.9,1059.4,0.512570552578148,-0.964177497392876,0.38,-2.54,1.122e-02,9.998e-01,0.0338929314452586,251,1764,1796,2637.8,712.6,988,1477.7
TNFRSF13C,84.9,67.5,17.3,0.260545014785598,-1.94039544408221,0.77,-2.54,1.122e-02,9.998e-01,0.0338929314452586,251,45,68.2,89.4,35.3,8.8,7.9
PSG1,11.2,10.6,0.5,0.0416181261606191,-4.58664418000279,1.81,-2.54,1.123e-02,9.998e-01,0.0339050973306302,251,6,13.4,12.5,0,0,1.6
PHKB,9275.9,6264.7,3011.2,0.480750774209216,-1.05663891397971,0.42,-2.54,1.124e-02,9.998e-01,0.0339355067596186,251,6130.2,7613.8,5050.1,4043.6,3421.7,1568.2
CCDC107,538.1,171.7,366.4,2.1370467280288,1.09561845388372,0.43,2.53,1.125e-02,9.998e-01,0.0339616923184524,252,145.6,113.9,255.7,279.3,382.9,436.9
TMEM121,6870,5021.6,1848.3,0.367964576600004,-1.44236120801631,0.57,-2.53,1.126e-02,9.998e-01,0.0339892116540284,252,3828.7,3444.4,7791.8,1104.3,973.7,3467
MED24,14533.7,9640.9,4892.8,0.507458810209162,-0.978637369572032,0.39,-2.53,1.127e-02,9.998e-01,0.0340062052842745,252,7911,7568.1,13443.7,3770.8,4161.1,6746.4
TMC4,263.4,62.2,201.2,3.23753213073797,1.69489451083048,0.67,2.53,1.127e-02,9.998e-01,0.0340106513581728,252,28.2,77.4,81.1,64.2,274,265.3
SNORD104,46.7,9.7,37,3.84449414487733,1.9427937821435,0.77,2.53,1.127e-02,9.998e-01,0.0340106513581728,252,8.7,4.9,15.6,23.5,42.9,44.5
CYBA,42451.7,14546.4,27905.4,1.91836454236858,0.939876898403055,0.37,2.53,1.127e-02,9.998e-01,0.034018422180199,252,15194.6,10428.8,18015.7,22188,22644.8,38883.3
ADAMTS7P3,63,6.7,56.3,8.47370420107981,3.08299276817742,1.22,2.53,1.128e-02,9.998e-01,0.0340425642448306,252,4.7,7,8.3,1.1,129.8,38.1
DENND3,2834.4,2001.2,833.2,0.415963496582242,-1.26547116654618,0.5,-2.53,1.129e-02,9.998e-01,0.0340632919935035,253,2023,1859.3,2121.3,423.7,560,1515.8
POLR2B,11985.3,8222.6,3762.7,0.457657222607239,-1.12766064589517,0.45,-2.53,1.130e-02,9.998e-01,0.0340689308916054,253,8316.3,11219.2,5132.2,4707,4507.6,2073.5
OSM,13.7,0.7,13,17.5873106387503,4.13646298504389,1.63,2.53,1.131e-02,9.998e-01,0.0340837596753411,253,0,2.1,0,12.8,8.8,17.5
FAM118A,2649.3,1668.7,980.6,0.587653635602506,-0.76696201708986,0.3,-2.53,1.131e-02,9.998e-01,0.0340837596753411,253,1615.1,1386.1,2004.9,780,1081.5,1080.4
CFAP70,49.4,7.1,42.3,5.82501143518235,2.54226088194969,1,2.53,1.131e-02,9.998e-01,0.0340837596753411,253,10.1,11.3,0,48.2,34.1,44.5
RPS27P21,15.2,1.2,14,11.1227612407193,3.47544307843268,1.37,2.53,1.131e-02,9.998e-01,0.0340837596753411,253,2.7,0,1,15,14.3,12.7
FKBP15,4761.5,2885.7,1875.8,0.650134526724666,-0.621189821427192,0.25,-2.53,1.131e-02,9.998e-01,0.0340899196342488,253,2637.7,2660.3,3359.1,1866.1,1862.7,1898.7
SSBP4,31968.1,21593.5,10374.6,0.48043609168691,-1.05758356053433,0.42,-2.53,1.132e-02,9.998e-01,0.0341027058033701,253,17916.1,14599.6,32264.8,7935.3,8925,14263.4
EEF1GP5,308.1,100.5,207.6,2.06783263863883,1.04811942492918,0.41,2.53,1.132e-02,9.998e-01,0.0341041522929969,253,87.9,81.6,132,189.4,161.7,271.7
SSR2,21763.2,8443.6,13319.6,1.57738643431005,0.657536140513369,0.26,2.53,1.133e-02,9.998e-01,0.0341406951308853,253,9748.8,7823.4,7758.6,11512.4,13442.6,15003.9
STAM-DT,60.1,9.8,50.4,5.06565598559261,2.3407491053308,0.92,2.53,1.134e-02,9.998e-01,0.0341544917503885,254,12.1,16.2,1,25.7,53.9,71.5
ORAI2,10463.9,7207.3,3256.5,0.451762494436059,-1.14636359249883,0.45,-2.53,1.135e-02,9.998e-01,0.0341788589797354,254,6173.1,5468.3,9980.6,2350.8,2170.7,5248.1
ATP6V1E1P3,259,70.2,188.8,2.68212026317846,1.42337392747403,0.56,2.53,1.137e-02,9.998e-01,0.0342503183589431,254,84.5,94.9,31.2,270.7,174.9,120.8
GK3,34.5,4.8,29.7,6.23594168431135,2.64060743667133,1.04,2.53,1.137e-02,9.998e-01,0.0342508587772076,254,5.4,2.8,6.2,53.5,5.5,30.2
ZBTB2,1511.7,965.1,546.6,0.566056231258996,-0.820982719340873,0.32,-2.53,1.138e-02,9.998e-01,0.0342648480203981,255,1032.7,1180.7,681.8,567.1,492.9,579.9
SCRG1,12.1,0.8,11.4,14.5740062013827,3.86532560457597,1.53,2.53,1.140e-02,9.998e-01,0.0343121342474712,255,1.3,0,1,8.6,17.6,7.9
RPL29P9,11.2,0.5,10.7,21.4539882080627,4.42317395861032,1.75,2.53,1.141e-02,9.998e-01,0.0343359358636068,255,0,1.4,0,10.7,8.8,12.7
SETDB1,3010.1,1824.5,1185.6,0.649930551750089,-0.621642527513334,0.25,-2.53,1.141e-02,9.998e-01,0.0343461715649264,255,1651.3,1738.4,2083.8,1129.9,1203.6,1223.4
CPSF7,3576,2148.6,1427.4,0.664274169565584,-0.590149278866285,0.23,-2.53,1.142e-02,9.998e-01,0.0343688915976945,255,2052.6,2124.4,2268.8,1289.4,1478.7,1514.2
RPS5P2,11.3,0.6,10.8,19.8669850837472,4.31230104775943,1.7,2.53,1.143e-02,9.998e-01,0.0343945074436466,256,0.7,0,1,3.2,13.2,15.9
SMIM20,1874.5,682,1192.5,1.74774406881825,0.805493939026401,0.32,2.53,1.143e-02,9.998e-01,0.0343979919148788,256,822.6,713.1,510.3,1418.9,1074.9,1083.6
NCOR1P2,11.8,0.4,11.4,23.4354577086128,4.55062106668307,1.8,2.53,1.144e-02,9.998e-01,0.0344189754798164,256,1.3,0,0,10.7,18.7,4.8
TGFBI,2906.1,1016.2,1889.9,1.85996725185605,0.895277220257608,0.35,2.53,1.145e-02,9.998e-01,0.0344510976663006,256,928.7,874.8,1245.1,2188.2,1241.1,2240.3
UBTF,14280.3,8998.7,5281.5,0.586907529601222,-0.768794877914305,0.3,-2.53,1.146e-02,9.998e-01,0.0344557970351186,256,8163.3,7608.2,11224.7,4191.3,5712.4,5940.9
GLA,7066.6,2614.5,4452.1,1.70275802064208,0.76787342783853,0.3,2.53,1.148e-02,9.998e-01,0.0345163113134385,257,2787.3,3033.7,2022.5,5199.3,4540.6,3616.3
ISL2,358.2,125.1,233.1,1.85925328908243,0.894723324324746,0.35,2.53,1.149e-02,9.998e-01,0.0345304434672477,257,132.2,115.3,127.8,189.4,211.2,298.7
PPY,15.9,0.9,15,15.743379956652,3.97667340213813,1.57,2.53,1.149e-02,9.998e-01,0.0345331308770859,257,2.7,0,0,17.1,8.8,19.1
ZC3H12D,15.2,1.5,13.7,9.15285211121896,3.19422137023297,1.26,2.53,1.150e-02,9.998e-01,0.0345630196845742,257,2.7,0.7,1,9.6,22,9.5
CHKB,83.1,19.7,63.4,3.22349517883298,1.68862582574559,0.67,2.53,1.151e-02,9.998e-01,0.0345937485187789,257,17.4,12.7,29.1,33.2,61.6,95.3
SAMD4B,19376.4,12757.4,6619.1,0.518838230832058,-0.946643305737818,0.37,-2.53,1.151e-02,9.998e-01,0.0345937485187789,258,9727.4,10082.1,18462.6,5075.1,6845.6,7936.5
ANGEL2,6345,4118.8,2226.2,0.540618101118435,-0.887318277508631,0.35,-2.53,1.152e-02,9.998e-01,0.0346053687581292,258,3956.2,5068.1,3332.1,2962.9,2133.3,1582.5
PLEKHG6,359.8,255,104.8,0.409284792975642,-1.28882303061357,0.51,-2.53,1.153e-02,9.998e-01,0.0346312384080467,258,274.4,193.4,297.2,50.3,99,165.2
RTP3,11.5,11.5,0,0.0197313836187144,-5.66336406443455,2.24,-2.53,1.154e-02,9.998e-01,0.0346603204264414,258,1.3,4.2,29.1,0,0,0
LAPTM4A-DT,7.1,0,7.1,49.0924700266997,5.61742985082788,2.22,2.53,1.155e-02,9.998e-01,0.0346724833486775,258,0,0,0,7.5,4.4,9.5
TADA3,12455.4,8010.3,4445.1,0.554840155753058,-0.84985589048223,0.34,-2.53,1.155e-02,9.998e-01,0.0346740138401384,258,7964.7,6803.7,9262.5,3957,3315,6063.2
LINC01138,50.4,12.2,38.2,3.12967398718679,1.64601238189747,0.65,2.53,1.156e-02,9.998e-01,0.034695806528189,258,14.1,9.1,13.5,33.2,49.5,31.8
ALG1L7P,21.1,19.3,1.8,0.0982193835975808,-3.34784842123767,1.33,-2.53,1.156e-02,9.998e-01,0.0347132933672202,259,17.4,8.4,32.2,4.3,1.1,0
RNU6-850P,15.6,1.4,14.2,9.80948097934199,3.2941768053193,1.3,2.53,1.157e-02,9.998e-01,0.0347261633534286,259,1.3,2.8,0,12.8,18.7,11.1
BLTP3B,3448.3,2547.5,900.8,0.353718748689259,-1.49932540447687,0.59,-2.52,1.157e-02,9.998e-01,0.0347283456315735,259,2323.6,3751.7,1567.3,1646.8,736.1,319.4
MID2,294.7,75.7,219,2.90594214721188,1.53900598144242,0.61,2.52,1.158e-02,9.998e-01,0.0347447816247,259,32.2,48.5,146.5,177.6,244.2,235.2
PKIG,1506,523.7,982.3,1.87561806088859,0.907366076381304,0.36,2.52,1.158e-02,9.998e-01,0.0347460226718265,259,528.1,392.4,650.6,826.1,816.4,1304.5
SNX18,2064.5,710.3,1354.2,1.90614595651964,0.93065859284964,0.37,2.52,1.158e-02,9.998e-01,0.0347460226718265,259,660.9,708.1,761.8,1530.1,805.4,1727.1
COTL1P2,33.2,28.4,4.8,0.160671244472347,-2.63781634365452,1.05,-2.52,1.161e-02,9.998e-01,0.0348223985473462,260,23.5,23.2,38.5,1.1,2.2,11.1
DDX11-AS1,289.4,97.1,192.4,1.9800318441677,0.985523632857103,0.39,2.52,1.161e-02,9.998e-01,0.034823739245736,260,119.4,90.7,81.1,171.2,245.4,160.5
SLC3A2,35072.9,22885.1,12187.8,0.532550550427865,-0.909009620459247,0.36,-2.52,1.162e-02,9.998e-01,0.0348280987941807,260,19117.9,18385.8,31151.7,9235.4,11582.1,15745.9
RPL36AP19,14,0.7,13.4,18.5617466779337,4.21426057070984,1.67,2.52,1.162e-02,9.998e-01,0.0348280987941807,260,2,0,0,17.1,5.5,17.5
MIR4458HG,321,103.9,217.1,2.09510462298583,1.06702228941104,0.42,2.52,1.164e-02,9.998e-01,0.0348821049990466,260,117.4,67.5,126.8,276.1,192.5,182.7
MAEA,11310.7,7207.6,4103,0.569204768617734,-0.812980346529049,0.32,-2.52,1.167e-02,9.998e-01,0.0349730587129937,261,6461.6,6194,8967.3,3264.6,3798,5246.5
NVL,4299.9,2683.9,1616,0.602341685943753,-0.731345988675675,0.29,-2.52,1.167e-02,9.998e-01,0.03498643641367,261,2666.5,2701.8,2683.5,2006.3,1611.8,1229.8
ZDHHC21,792.3,239.8,552.5,2.30462450539858,1.20453171016491,0.48,2.52,1.170e-02,9.998e-01,0.0350681792897945,262,230.2,322.8,166.3,854.9,489.6,313
ELFN1-AS1,1992,643.1,1349,2.09756066221794,1.06871253453421,0.42,2.52,1.171e-02,9.998e-01,0.035082579089885,262,625.4,477.5,826.3,829.3,1223.5,1994.1
SPINK4,18.5,0.9,17.6,17.9192084968792,4.16343500890977,1.65,2.52,1.172e-02,9.998e-01,0.0351083380599859,262,0,2.8,0,15,4.4,33.4
POLR1HASP,394.4,134.9,259.6,1.92344368419551,0.943691590112174,0.37,2.52,1.173e-02,9.998e-01,0.0351331383172921,262,138.9,116,149.7,180.8,281.7,316.2
ZNF28,12.1,0.2,11.9,42.2395112274522,5.40052123560147,2.14,2.52,1.173e-02,9.998e-01,0.0351434387111262,262,0.7,0,0,2.1,31.9,1.6
SPOPL-DT,190,52.9,137.1,2.60122674568296,1.37919216268513,0.55,2.52,1.175e-02,9.998e-01,0.0352019498194122,263,30.9,45.7,82.1,104.9,111.1,195.4
MEPCE,849.3,570.5,278.8,0.487920061201477,-1.03528329290875,0.41,-2.52,1.180e-02,9.998e-01,0.0353209601204953,264,492.5,465.5,753.5,199,235.4,402
MGAT5B,833.3,591,242.2,0.409160763135409,-1.28926029179841,0.51,-2.52,1.180e-02,9.998e-01,0.0353209601204953,264,571,538,664.1,88.8,288.3,349.6
SNAP25-AS1,203.3,166.3,37,0.220857917383711,-2.17880954339914,0.87,-2.52,1.181e-02,9.998e-01,0.0353412093191514,264,181.8,265.1,52,5.4,37.4,68.3
GRAMD4,4399.4,2960.9,1438.6,0.485786691617224,-1.0416051277642,0.41,-2.52,1.182e-02,9.998e-01,0.0353719358585414,264,2406.8,2549.2,3926.6,805.7,1670.1,1839.9
PMFBP1,111.5,14,97.5,6.87076766410261,2.78047129894459,1.1,2.52,1.182e-02,9.998e-01,0.0353719358585414,264,15.4,26.7,0,24.6,112.2,155.7
FABP5P9,9.8,0.2,9.6,34.1725934718972,5.09476783773972,2.02,2.52,1.184e-02,9.998e-01,0.0354149278372728,265,0,0.7,0,11.8,15.4,1.6
XAB2,3124.1,2054.1,1070,0.520777607224567,-0.941260679103892,0.37,-2.52,1.186e-02,9.998e-01,0.0354909045642834,265,1811,1529.5,2821.8,812.1,1015.5,1382.3
LINC02334,14.2,1.1,13.1,12.0518429613921,3.59118187436808,1.43,2.52,1.186e-02,9.998e-01,0.0354909045642834,265,1.3,0,2.1,20.3,11,7.9
MRPL32P2,135.3,40.2,95.1,2.37075121167041,1.2453442733127,0.49,2.52,1.187e-02,9.998e-01,0.0355085088363201,266,38.2,45,37.4,107,121,57.2
CDC42EP3-AS1,175.7,43.9,131.9,3.00258795939162,1.58620650961762,0.63,2.52,1.187e-02,9.998e-01,0.0355085088363201,266,39.6,57.7,34.3,51.4,226.6,117.6
FTH1P20,2978.2,1161.8,1816.4,1.56338146022496,0.644669834402761,0.26,2.52,1.187e-02,9.998e-01,0.0355097066600191,266,1213.8,1251,1020.6,1956,1912.2,1580.9
RPS2P36,7,0,7,48.0527247426479,5.58654633361281,2.22,2.52,1.190e-02,9.998e-01,0.0355699515168151,266,0,0,0,7.5,5.5,7.9
COL23A1,8.8,0,8.8,60.5178909092026,5.91928980438757,2.35,2.52,1.190e-02,9.998e-01,0.0355801434817743,266,0,0,0,2.1,2.2,22.2
PDXP,3500,2379.8,1120.2,0.47071560359256,-1.0870724176569,0.43,-2.52,1.190e-02,9.998e-01,0.0355801434817743,266,2040.5,1363.6,3735.3,892.4,1168.4,1299.7
RAD51-AS1,777.9,247.2,530.8,2.15020378485027,1.10447339723827,0.44,2.51,1.190e-02,9.998e-01,0.0355801434817743,266,242.2,164.6,334.7,353.1,748.2,491
POLDIP2,43855.1,27617.4,16237.7,0.587929482620747,-0.76628496903363,0.3,-2.51,1.194e-02,9.998e-01,0.0356695180414945,267,26272,24580.5,31999.8,14167.1,13464.6,21081.4
CTF1,5145.7,3446.4,1699.2,0.4929272795214,-1.02055327021581,0.41,-2.51,1.195e-02,9.998e-01,0.0356930926167464,267,3104.7,2540,4694.6,1580.4,1124.4,2392.9
BRD9,5000.7,3162.9,1837.8,0.581008858006652,-0.783367935896367,0.31,-2.51,1.196e-02,9.998e-01,0.0357223338796655,267,3022.8,2567.5,3898.5,1432.8,2027.7,2052.8
DSC1,14.5,0,14.5,99.3191205474919,6.63399958165997,2.64,2.51,1.197e-02,9.998e-01,0.0357647070657018,268,0,0,0,2.1,0,41.3
MID1,129.5,25,104.4,4.13419954980041,2.04760802653777,0.81,2.51,1.199e-02,9.998e-01,0.0358040430607529,268,22.8,49.2,3.1,88.8,99,125.5
ZNF286B,201.5,143.6,57.9,0.404773788360763,-1.30481222537467,0.52,-2.51,1.200e-02,9.998e-01,0.035848355379138,269,114.1,204.6,112.2,61,79.2,33.4
SH3RF3-AS1,181.3,136.4,44.9,0.329429910888712,-1.60195654306618,0.64,-2.51,1.201e-02,9.998e-01,0.0358637108069274,269,102,87.9,219.3,19.3,69.3,46.1
BTBD9,1214.5,416.2,798.3,1.91965349516613,0.940845922446553,0.37,2.51,1.203e-02,9.998e-01,0.0359236589553245,269,261,430.4,557.1,707.3,775.7,912
MTHFSD,3154,2022.3,1131.7,0.559282588182451,-0.838350678445235,0.33,-2.51,1.204e-02,9.998e-01,0.0359427756317562,269,2089.5,1863.5,2114,761.9,1161.8,1471.3
SESTD1,301.7,73,228.6,3.13896856863647,1.65029058288648,0.66,2.51,1.205e-02,9.998e-01,0.0359540236438256,269,24.2,107.6,87.3,220.4,354.3,111.2
TSTD3,689.9,231.2,458.7,1.98440694589553,0.988707912127294,0.39,2.51,1.205e-02,9.998e-01,0.0359540236438256,269,235.5,283.4,174.6,490.1,584.2,301.9
RUSC1-AS1,127.6,29,98.7,3.38832759393923,1.76057336560982,0.7,2.51,1.205e-02,9.998e-01,0.035968417942406,270,45,25.3,16.6,36.4,159.5,100.1
LINC00184,136.2,34.8,101.4,2.9099095338553,1.54097430190088,0.61,2.51,1.206e-02,9.998e-01,0.0359777767559216,270,54.4,28.1,21.8,77,160.6,66.7
LRRC36,11.6,0,11.6,80.3787323247096,6.32874191931964,2.52,2.51,1.207e-02,9.998e-01,0.035997285970895,270,0,0,0,12.8,22,0
TRMT61A-DT,686.6,466.3,220.3,0.473182931231941,-1.07953006151221,0.43,-2.51,1.209e-02,9.998e-01,0.0360598347319751,270,314.7,412.8,671.4,187.3,297.1,176.4
SCD5,3473.4,2172.5,1300.9,0.598688437360994,-0.740122687554678,0.29,-2.51,1.211e-02,9.998e-01,0.0361092563218524,271,1893.5,1943.7,2680.4,1198.4,1166.2,1538
FAM13A,1680.7,592.1,1088.7,1.83868138138949,0.878671501873682,0.35,2.51,1.212e-02,9.998e-01,0.0361282897413375,271,689.8,634.3,452.1,1222,1282.9,761.1
BIK,941.3,698.5,242.8,0.346665498001946,-1.52838383590183,0.61,-2.51,1.213e-02,9.998e-01,0.0361527692530242,271,783.7,554.1,757.7,87.7,149.6,491
CAMTA1,4933.8,1924.4,3009.4,1.56329779258198,0.644592623480965,0.26,2.51,1.213e-02,9.998e-01,0.0361527692530242,271,2102.9,2060.4,1609.9,2806.7,2916.7,3304.9
RPL13P12,21237.8,7083.8,14154,1.99803308066256,0.998580469473045,0.4,2.51,1.214e-02,9.998e-01,0.0361768201360391,271,7701,5111,8439.3,9936.3,11495.2,21030.5
TAB1,1460.1,973.5,486.6,0.499879240949152,-1.0003484790513,0.4,-2.51,1.215e-02,9.998e-01,0.0362242143650818,272,708.6,721.5,1490.4,468.7,441.2,549.8
BTBD2,32303.7,22933.3,9370.4,0.40857923782777,-1.29131220027279,0.52,-2.51,1.216e-02,9.998e-01,0.0362464069248007,272,18363,12452.7,37984.2,6694.1,6699.3,14717.9
FGD1,3324,2268.4,1055.6,0.465194470121075,-1.1040941476384,0.44,-2.51,1.218e-02,9.998e-01,0.0362718709173293,272,1812.3,1602.6,3390.3,694.4,980.3,1492
RN7SKP80,23.5,4.1,19.4,4.68518164751919,2.22810498318754,0.89,2.51,1.218e-02,9.998e-01,0.0362718709173293,272,4.7,3.5,4.2,15,20.9,22.2
ZNF473CR,18.2,1.1,17.1,14.4986016311009,3.85784185601298,1.54,2.51,1.217e-02,9.998e-01,0.0362718709173293,272,3.4,0,0,9.6,24.2,17.5
MOB3C,1715,485.4,1229.5,2.53394523059747,1.34138534200069,0.54,2.51,1.218e-02,9.998e-01,0.0362787749803442,272,499.2,413.5,543.6,2328.4,615,745.2
USP6NL-AS1,48.3,9.6,38.7,3.99089179093987,1.99671116213888,0.8,2.51,1.218e-02,9.998e-01,0.0362823036594744,273,6.7,16.9,5.2,23.5,52.8,39.7
HP1BP3,25419.3,15699.6,9719.7,0.619141142402593,-0.691659764231673,0.28,-2.51,1.219e-02,9.998e-01,0.0363081648512045,273,15629.4,17573.6,13895.8,10975.2,10490.6,7693.4
RPL13A,74247.6,25490.9,48756.7,1.91268538562446,0.935599586738211,0.37,2.51,1.221e-02,9.998e-01,0.0363373066057674,273,29067.3,21137.5,26267.9,30130.8,48281.2,67858.2
SMAP2,6595.9,4079.8,2516.1,0.616658618770838,-0.697456058198755,0.28,-2.51,1.221e-02,9.998e-01,0.036337342954925,273,3615.3,3791.1,4832.9,2262,2307.2,2979.2
CPSF4,7097.3,4694.8,2402.5,0.511645987860125,-0.966782152255045,0.39,-2.51,1.222e-02,9.998e-01,0.0363756635821949,273,4347.4,3521.7,6215.2,1932.5,1863.8,3411.3
DNAH17,108.4,22.3,86.1,3.88369902809933,1.95743140171155,0.78,2.51,1.222e-02,9.998e-01,0.0363814076069403,273,10.1,18.3,38.5,39.6,55,163.7
PNMA1,15115.4,9074.5,6040.9,0.665685837963992,-0.587086618709469,0.23,-2.51,1.223e-02,9.998e-01,0.0363956693772586,274,9450.9,8075.8,9696.9,6160.1,5545.1,6417.5
SUPT5H,25249.2,15989.1,9260.1,0.579126995998691,-0.788048345278371,0.31,-2.51,1.224e-02,9.998e-01,0.0364254881020232,274,14171.3,14006.1,19789.8,7396,8731.4,11652.9
