SYMBOL,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
SLC12A7,13221.7,9241.7,3980,0.430534311460361,-1.21579987700702,4.59e-03,1.00e+00,0.0167280033040938,80,7560,6763,13402,3581,3265,5094
AGA,1359.7,337,1022.7,3.02498423259914,1.59692762251605,4.61e-03,1.00e+00,0.0167951837923021,81,324,517,170,1241,1030,797
ACTBP7,465.3,120,345.3,2.88659397140878,1.52936819221861,4.62e-03,1.00e+00,0.0167951837923021,81,116,86,158,400,243,393
DDX39B,2693,604.7,2088.3,3.45539621272779,1.78885114660897,4.62e-03,1.00e+00,0.0168201327583606,81,552,477,785,763,2997,2505
H2BC26,1805,550,1255,2.28457116712152,1.19192338492066,4.64e-03,1.00e+00,0.0168708910935022,81,452,456,742,1128,1278,1359
FAUP1,2000.7,606.7,1394,2.29323835175934,1.19738631175702,4.65e-03,1.00e+00,0.0168947072566779,81,692,553,575,1227,1073,1882
ATP6V0A2,2212.3,725,1487.3,2.05203717028177,1.03705686393498,4.65e-03,1.00e+00,0.016894797303446,81,793,741,641,1642,1530,1290
CRKL,20810,13625.7,7184.3,0.527208848987591,-0.923553509284618,4.65e-03,1.00e+00,0.016894797303446,81,11948,14028,14901,5537,8010,8006
DYRK4,2624.7,857.3,1767.3,2.05963519258371,1.04238882650662,4.65e-03,1.00e+00,0.0169094953139038,81,961,777,834,1601,1572,2129
RPSAP19,338,93.3,244.7,2.6112906474536,1.38476304451529,4.65e-03,1.00e+00,0.0169104144769232,81,109,82,89,224,233,277
B3GNT8,186.3,25,161.3,6.72465783537093,2.7494608622013,4.66e-03,1.00e+00,0.0169261850819935,81,17,7,51,68,141,275
MMP17,1831,1598.7,232.3,0.14843074616448,-2.75213812998672,4.66e-03,1.00e+00,0.0169261850819935,82,1470,1163,2163,560,72,65
DOK4,5306.3,3864,1442.3,0.372086100192658,-1.42629159734944,4.66e-03,1.00e+00,0.0169313164734931,82,3860,3386,4346,1010,927,2390
ZMYND12,288,74,214,2.89105301284683,1.53159506356073,4.66e-03,1.00e+00,0.0169313164734931,82,76,79,67,284,148,210
HMGA1P4,71.3,16,55.3,3.41228233712623,1.77073702224824,4.67e-03,1.00e+00,0.0169391208164663,82,19,16,13,63,40,63
TMPO-AS1,1017,726.7,290.3,0.401905693367109,-1.31507108023189,4.68e-03,1.00e+00,0.0169861434151275,82,638,806,736,400,230,241
SH3GLB1,9211.3,2592.7,6618.7,2.55264540140132,1.35199314089001,4.68e-03,1.00e+00,0.0169895374546487,82,2764,3341,1673,9655,5671,4530
ULK4,471.3,132,339.3,2.56129313695694,1.35687237711834,4.68e-03,1.00e+00,0.0169923136472214,82,135,159,102,376,334,308
AVPI1,6752,4567.7,2184.3,0.478447004460677,-1.06356896251878,4.69e-03,1.00e+00,0.0169971129855873,82,4110,3785,5808,2738,1818,1997
VCP,74938.3,47922.7,27015.7,0.563732725042965,-0.826916775613275,4.69e-03,1.00e+00,0.0169971129855873,82,44560,44618,54590,26889,25486,28672
MRGBP,9580.3,6332.7,3247.7,0.512621550977986,-0.96403396304776,4.69e-03,1.00e+00,0.0170057790452204,82,6196,5580,7222,2629,3109,4005
GSK3B-DT,424.7,98.7,326,3.24739009343763,1.69928069908788,4.70e-03,1.00e+00,0.017020834701864,82,117,114,65,195,314,469
DPF2,10570.3,7063,3507.3,0.496304387085942,-1.01070288748352,4.70e-03,1.00e+00,0.017020834701864,82,6528,6317,8344,3062,2900,4560
SNAI1,2706,790.3,1915.7,2.42275137054768,1.27664635902679,4.70e-03,1.00e+00,0.0170228284119972,82,783,647,941,1174,2142,2431
RPL10P6,61.7,12,49.7,3.91865824729768,1.97035975859262,4.70e-03,1.00e+00,0.0170247331459223,82,20,8,8,42,49,58
RPS15AP40,29.7,3.7,26,6.09993907367234,2.60879483307721,4.70e-03,1.00e+00,0.017030731213099,82,5,6,0,27,18,33
FAM227B,266,63.7,202.3,3.15248025894708,1.65648733632405,4.71e-03,1.00e+00,0.0170555505000195,82,75,77,39,273,179,155
MDC1,2277.7,1579.7,698,0.440249298551293,-1.18360738947342,4.71e-03,1.00e+00,0.0170555505000195,82,1438,1558,1743,593,540,961
ZNF398,3385,2374.7,1010.3,0.424813235223326,-1.23509938031402,4.71e-03,1.00e+00,0.0170555505000195,82,2155,1833,3136,976,733,1322
CNDP2,17819,11585,6234,0.53798803904521,-0.894353996830337,4.72e-03,1.00e+00,0.0170667338820595,83,10966,10796,12993,5921,5295,7486
KRT18P65,3612.7,1178,2434.7,2.0657399453465,1.04665864569691,4.72e-03,1.00e+00,0.0170667338820595,83,1187,1100,1247,2709,1780,2815
KRT18P17,4931.3,1685,3246.3,1.92656587694862,0.946031518321453,4.72e-03,1.00e+00,0.0170717877786583,83,1697,1610,1748,3704,2637,3398
SOWAHC,4355,2950.3,1404.7,0.475633940526912,-1.07207642756924,4.72e-03,1.00e+00,0.0170741227026535,83,2679,2713,3459,1015,1533,1666
NUP50P2,125,95.3,29.7,0.303119730147472,-1.72204033428769,4.72e-03,1.00e+00,0.0170823718334881,83,83,122,81,24,26,39
ZBTB38,8249.3,5448.3,2801,0.514398778694893,-0.959040877518767,4.73e-03,1.00e+00,0.0171027560051418,83,5401,6012,4932,2873,3355,2175
RNASEH1,4721,3105.3,1615.7,0.520780413017815,-0.941252906317497,4.74e-03,1.00e+00,0.0171210569818792,83,2851,3264,3201,1693,1806,1348
ACSL5,357.7,21.3,336.3,15.9268589881261,3.9933898690283,4.74e-03,1.00e+00,0.017136409540807,83,30,18,16,883,63,63
RPS2P17,1550.3,482,1068.3,2.21234675142299,1.14557752361627,4.75e-03,1.00e+00,0.017143712064603,83,573,425,448,1016,913,1276
NAA38,6523.3,1850.3,4673,2.52349629277909,1.33542396720176,4.75e-03,1.00e+00,0.0171571156249585,83,2187,1378,1986,3999,2957,7063
EXOC2,5510.3,3770.3,1740,0.462004818636691,-1.11402019608801,4.76e-03,1.00e+00,0.0172023125419571,83,3699,4521,3091,2122,1899,1199
RGS5,11901,1348.3,10552.7,7.81382042516816,2.96602810032626,4.77e-03,1.00e+00,0.0172122638676177,83,1268,1942,835,10596,1138,19924
RPS15AP12,259,57.3,201.7,3.43666432507261,1.78100894388272,4.77e-03,1.00e+00,0.0172137562630904,83,84,65,23,214,190,201
AHCY,49581,31586,17995,0.569715952697079,-0.811685291005038,4.78e-03,1.00e+00,0.0172517246245737,84,31680,28593,34485,18311,16584,19090
RPL23AP57,29.7,4.7,25,4.75409821378158,2.24917170788111,4.78e-03,1.00e+00,0.0172539154300539,84,6,4,4,27,13,35
LINC00472,129.7,24.3,105.3,4.29048925891325,2.10114217247098,4.79e-03,1.00e+00,0.0172650463850576,84,42,18,13,88,159,69
ZNF790-AS1,412.3,116.3,296,2.54740130024416,1.34902624986242,4.79e-03,1.00e+00,0.0172835837004008,84,113,118,118,274,362,252
DBI,10816.3,3652,7164.3,1.96160427335839,0.972034027058465,4.79e-03,1.00e+00,0.0172903947720845,84,4187,3446,3323,9033,5704,6756
ATP2A3,137.7,7.7,130,14.9281360480681,3.89996213429918,4.80e-03,1.00e+00,0.0173162266038444,84,23,0,0,214,24,152
JCAD,1304.7,896.3,408.3,0.455400381064508,-1.13479259621114,4.80e-03,1.00e+00,0.0173162266038444,84,932,799,958,449,339,437
CHTF18,4376.3,2965,1411.3,0.476076216047136,-1.07073553876762,4.80e-03,1.00e+00,0.0173162266038444,84,3087,2489,3319,1080,1809,1345
OXTR,2869.7,2380.3,489.3,0.202403998373343,-2.30469030497166,4.81e-03,1.00e+00,0.0173421346765829,84,1898,1933,3310,263,165,1040
SOWAHA,78.7,78.7,0,0.00165032907355557,-9.24303055991766,4.81e-03,1.00e+00,0.0173421346765829,84,38,23,175,0,0,0
PFDN6,2321.7,682,1639.7,2.39944754907681,1.2627022766866,4.82e-03,1.00e+00,0.0173421346765829,84,820,564,662,1243,1346,2330
LDLRAP1,5033.7,3440.3,1593.3,0.462864374334932,-1.11133856908674,4.82e-03,1.00e+00,0.0173425826088684,84,2723,3074,4524,1547,1282,1951
RPL10AP6,1047.3,310.3,737,2.36270117452273,1.24043717425639,4.82e-03,1.00e+00,0.0173425826088684,84,364,342,225,672,712,827
SMARCC2,13898.3,9090.3,4808,0.528950872483604,-0.918794359912067,4.82e-03,1.00e+00,0.0173455054120649,84,7421,8551,11299,4537,4723,5164
MTFMT,3449.7,2268,1181.7,0.52077561908486,-0.941266186799941,4.82e-03,1.00e+00,0.0173455054120649,84,2335,2234,2235,1237,1035,1273
MANCR,220,35,185,4.96658012694671,2.31225278696521,4.82e-03,1.00e+00,0.0173546716570899,84,46,50,9,93,164,298
ANKRD2,113,13.3,99.7,7.55635834001346,2.91769111928876,4.83e-03,1.00e+00,0.0173739636567555,84,4,10,26,60,43,196
RHBDL2,250,43.7,206.3,4.55625444574042,2.18784831714208,4.83e-03,1.00e+00,0.0173838121990823,85,63,57,11,130,313,176
RPL21P28,84,19,65,3.38729367843882,1.76013307394747,4.84e-03,1.00e+00,0.0173983384716842,85,16,21,20,55,50,90
RASD1,446.7,74,372.7,4.88127638166516,2.28725844055954,4.84e-03,1.00e+00,0.0173985226459856,85,96,83,43,128,315,675
TRIM65,10969,7585.3,3383.7,0.445809870464582,-1.16549953591047,4.85e-03,1.00e+00,0.0174220486031587,85,7315,5782,9659,3293,2341,4517
LIF,4830,3311,1519,0.458202817706125,-1.12594176440245,4.85e-03,1.00e+00,0.0174245911228051,85,3163,2611,4159,1224,1343,1990
MOB3A,11796.3,7820.3,3976,0.508344251362204,-0.976122272045063,4.85e-03,1.00e+00,0.0174370293662602,85,6562,6902,9997,3750,3544,4634
PHGDH,16204.3,13339,2865.3,0.214155467039959,-2.22326958753578,4.86e-03,1.00e+00,0.0174508322179714,85,13508,10963,15546,1050,1368,6178
COTL1P2,34.7,29.7,5,0.152107946141663,-2.71683257325342,4.87e-03,1.00e+00,0.0174788795938626,85,25,25,39,1,2,12
RPS26P6,30,3.7,26.3,6.29075437417566,2.65323303246615,4.87e-03,1.00e+00,0.0174788795938626,85,7,2,2,13,22,44
SNF8P1,39,5.7,33.3,5.87421937238206,2.55439714403151,4.87e-03,1.00e+00,0.0174841284767234,85,6,1,10,47,21,32
ZSCAN20,619.3,463.7,155.7,0.332048631600435,-1.59053354177693,4.87e-03,1.00e+00,0.0174940919261821,85,541,345,505,84,180,203
C1orf226,2601.7,2114.3,487.3,0.227494049475178,-2.13609928542186,4.88e-03,1.00e+00,0.0174940919261821,85,1747,1758,2838,334,159,969
WNK2,5703,4420,1283,0.290653358413308,-1.78262851630816,4.88e-03,1.00e+00,0.0175106031093627,85,2953,3091,7216,676,2066,1107
TMEM134,4529.3,1348.3,3181,2.35753762809537,1.23728079759533,4.88e-03,1.00e+00,0.0175214817165284,85,1303,1079,1663,2341,2602,4600
KLC2,5037,3495.3,1541.7,0.440729879530108,-1.18203338663452,4.89e-03,1.00e+00,0.017523054206234,85,2884,2754,4848,1226,1460,1939
CACTIN,7124.7,4988,2136.7,0.427955136369793,-1.22446853174065,4.89e-03,1.00e+00,0.017536947255947,86,4426,3743,6795,1504,2079,2827
CLCN2,3598.3,2473.7,1124.7,0.453697163743516,-1.14019845407892,4.90e-03,1.00e+00,0.0175692344246423,86,2438,2077,2906,876,972,1526
CD44-DT,116,92.3,23.7,0.25629375982535,-1.96412974219864,4.90e-03,1.00e+00,0.0175692344246423,86,123,77,77,37,11,23
REX1BD,7332.7,2076.3,5256.3,2.53094991166276,1.3396789563183,4.91e-03,1.00e+00,0.0175782044331483,86,1966,1581,2682,4077,3625,8067
TBC1D31,1571.3,1187.7,383.7,0.325281591408485,-1.62023891632993,4.91e-03,1.00e+00,0.0175782044331483,86,1155,1662,746,561,378,212
DIAPH3,4796,3279.7,1516.3,0.462854263014987,-1.11137008525278,4.91e-03,1.00e+00,0.0175894738420046,86,3007,3969,2863,2050,1274,1225
LRRC47,18493.7,12495.3,5998.3,0.479955157489735,-1.05902847465626,4.91e-03,1.00e+00,0.0175905783835523,86,11494,9494,16498,4757,5969,7269
TGIF1,17408,6103.3,11304.7,1.85183132020541,0.888952692234153,4.92e-03,1.00e+00,0.0176134196889373,86,6833,6545,4932,9896,12212,11806
EIF4H,46317.7,30168,16149.7,0.535276898671716,-0.901642704313528,4.92e-03,1.00e+00,0.0176205059373291,86,29718,26341,34445,14876,13845,19728
ENKUR,72,7.3,64.7,8.49216343379786,3.08613213653542,4.93e-03,1.00e+00,0.017635663119889,86,5,17,0,120,51,23
EPHB4,16028,11282.7,4745.3,0.420362611992922,-1.25029373646044,4.93e-03,1.00e+00,0.0176416901585557,86,8810,9008,16030,3340,4441,6455
RTEL1,354.3,269.7,84.7,0.313643148501554,-1.67280404740145,4.93e-03,1.00e+00,0.0176416901585557,86,215,188,406,68,96,90
CMSS1,8501,2963.7,5537.3,1.8681556494196,0.901614661306077,4.93e-03,1.00e+00,0.0176495892113021,86,3260,3212,2419,6085,5290,5237
BORA,1540.7,1150.7,390,0.340956288098157,-1.55234130281181,4.94e-03,1.00e+00,0.0176495892113021,86,1112,1591,749,579,346,245
USP6NL,2529,1728,801,0.46421320224898,-1.10714054129527,4.94e-03,1.00e+00,0.0176670447909754,86,1559,2146,1479,964,780,659
TRMT1L,7346.3,4949.7,2396.7,0.484321617760989,-1.04596269562215,4.94e-03,1.00e+00,0.0176700199101626,86,5398,5959,3492,2823,2215,2152
MCEE,711,155.3,555.7,3.53663659219814,1.82237798223667,4.94e-03,1.00e+00,0.0176700199101626,86,235,174,57,706,482,479
PUSL1,3476.7,2543,933.7,0.365961122513529,-1.45023770139463,4.95e-03,1.00e+00,0.0176786996593753,87,2044,1874,3711,638,785,1378
ZFHX2-AS1,77.7,16,61.7,3.76831636347743,1.91392008938292,4.95e-03,1.00e+00,0.0176917044572559,87,18,14,16,34,66,85
TSPAN15,4129,3029.7,1099.3,0.362123973125056,-1.46544440643618,4.95e-03,1.00e+00,0.0176917044572559,87,2761,2617,3711,1334,506,1458
ACTG1P10,180,40.3,139.7,3.41872644900862,1.77345898947287,4.95e-03,1.00e+00,0.0176917044572559,87,46,24,51,123,99,197
RPS7P10,1228,348,880,2.51801207671188,1.3322852024257,4.96e-03,1.00e+00,0.0176934460363095,87,472,356,216,946,804,890
CD79A,114,6,108,18.3867353001928,4.20059343628258,4.96e-03,1.00e+00,0.0177031865199478,87,12,2,4,32,278,14
GAPDHP76,23.3,3.3,20,5.45022938191006,2.44631694937217,4.98e-03,1.00e+00,0.0177612194897509,87,3,5,2,11,14,35
MAP4,33829,21503,12326,0.573222307415802,-0.80283334053515,4.98e-03,1.00e+00,0.0177612194897509,87,19274,21283,23952,12028,12432,12518
RPL17P39,591.3,163,428.3,2.60571800777327,1.38168096310793,4.98e-03,1.00e+00,0.0177657851856434,87,202,144,143,328,412,545
PTMAP8,86.7,20,66.7,3.33398554373874,1.73724784876895,4.99e-03,1.00e+00,0.0177958676026763,87,22,21,17,92,50,58
BOLA1,35,3.7,31.3,7.23209377214328,2.85441338402094,4.99e-03,1.00e+00,0.0178045043186178,87,7,4,0,13,35,46
NID2,43,4.7,38.3,7.1181892979387,2.83151029974374,4.99e-03,1.00e+00,0.0178045043186178,87,9,5,0,48,16,51
GGA1,9269,6382.3,2886.7,0.452185049804609,-1.14501480056284,5.00e-03,1.00e+00,0.0178093251409236,87,5135,4892,9120,2385,2836,3439
FAM216A,3140.7,2116.3,1024.3,0.484035832609236,-1.04681424239964,5.00e-03,1.00e+00,0.0178174908161627,87,2286,2453,1610,1161,957,955
INPP5F,1175,831.3,343.7,0.41583076034129,-1.26593161194262,5.00e-03,1.00e+00,0.0178195243200532,87,855,834,805,365,440,226
TRA2A,5348.7,1767.3,3581.3,2.026053628508,1.01867236197645,5.00e-03,1.00e+00,0.0178237777895787,88,1612,2167,1523,2883,4276,3585
EPPK1,807,685.7,121.3,0.172745227506489,-2.53328224156952,5.01e-03,1.00e+00,0.0178357728422895,88,454,430,1173,22,153,189
CDNF,103,21.3,81.7,3.68495290960713,1.88164618308958,5.01e-03,1.00e+00,0.0178357728422895,88,23,22,19,81,44,120
DDX11,5940.7,3952.3,1988.3,0.503191860005327,-0.990819510557547,5.01e-03,1.00e+00,0.0178379000317561,88,3483,3574,4800,1622,2330,2013
BMERB1,5609.3,4277.3,1332,0.30991510663359,-1.69005501490941,5.01e-03,1.00e+00,0.0178379000317561,88,4286,3667,4879,683,852,2461
ATP5PD,7233.3,2469.7,4763.7,1.92839119851575,0.947397750172116,5.02e-03,1.00e+00,0.017853569342572,88,2735,2674,2000,5521,4092,4678
LRRTM4,385,10,375,34.6158004235913,5.11335880296673,5.02e-03,1.00e+00,0.0178559372935265,88,1,29,0,11,888,226
ZHX2,293.3,69,224.3,3.26248111375221,1.70596955005803,5.02e-03,1.00e+00,0.0178559372935265,88,71,57,79,137,346,190
DDX56,26189,16869.3,9319.7,0.552434022866184,-0.856125921003208,5.02e-03,1.00e+00,0.0178672038404265,88,15978,15025,19605,8576,8771,10612
TTC9B,39.7,6.7,33,4.67412460341867,2.22469619418451,5.03e-03,1.00e+00,0.0178677781088627,88,13,5,2,30,36,33
PLAC9,112,17,95,5.80904876831571,2.5383019416698,5.05e-03,1.00e+00,0.0179426536472842,88,8,8,35,112,41,132
HNRNPUP1,197.7,42.7,155,3.70113050066534,1.88796600549587,5.05e-03,1.00e+00,0.0179476261276903,88,43,36,49,258,89,118
CCDC170,175.3,43.3,132,3.04594879797133,1.60689169050094,5.05e-03,1.00e+00,0.0179499091359739,88,44,31,55,146,97,153
OLIG1,90.7,75,15.7,0.194069670754534,-2.36535342387822,5.06e-03,1.00e+00,0.0179906592293879,89,69,72,84,1,18,28
TTC28,3890.7,2632.3,1258.3,0.477662572547413,-1.06593625662882,5.07e-03,1.00e+00,0.0180009711218961,89,2054,2625,3218,1053,1199,1523
CDC42SE1,2561.7,860,1701.7,1.97849076927913,0.984400334379964,5.08e-03,1.00e+00,0.0180350441447701,89,962,877,741,1694,1781,1630
STARD8,925.3,676,249.3,0.368256938578975,-1.44121538657349,5.08e-03,1.00e+00,0.018053153127706,89,604,443,981,213,251,284
CAPN12,77,59,18,0.307906145643922,-1.69943743178678,5.09e-03,1.00e+00,0.0180665743249998,89,64,64,49,19,19,16
GPD2,5535.7,3955,1580.7,0.400212826972881,-1.32116068797952,5.09e-03,1.00e+00,0.0180799827092838,89,3850,5320,2695,2204,1498,1040
DLG3,1895,1343.7,551.3,0.412277973415748,-1.27831070980191,5.11e-03,1.00e+00,0.0181213098167309,89,1303,1233,1495,797,489,368
AIFM1,15429.3,9916.7,5512.7,0.55602885447175,-0.846768343012036,5.11e-03,1.00e+00,0.0181213098167309,89,10174,10067,9509,6507,5142,4889
RABEP1,6182,3977.7,2204.3,0.554155521762855,-0.851637174589992,5.11e-03,1.00e+00,0.0181213098167309,89,3779,4230,3924,2208,2133,2272
PTTG1IP,45123,29020.3,16102.7,0.554830732620545,-0.849880392713816,5.11e-03,1.00e+00,0.0181347714634076,89,28044,27440,31577,15588,13670,19050
LINC00240,79,12,67,5.18608624182744,2.37464619763398,5.12e-03,1.00e+00,0.018147273918537,90,19,15,2,35,99,67
ZMIZ1-AS1,35.7,2,33.7,15.4355904823622,3.94818876861988,5.12e-03,1.00e+00,0.0181484050982499,90,6,0,0,10,77,14
PPME1,15772.3,10226.3,5546,0.542231482487667,-0.88301921500157,5.13e-03,1.00e+00,0.0181678245592933,90,10048,9973,10658,4334,5953,6351
STIP1,42945.3,27214,15731.3,0.5780537105869,-0.790724546110706,5.13e-03,1.00e+00,0.018175237376037,90,27692,26174,27776,14108,16754,16332
DDX51,8315.3,5705,2610.3,0.457309491609186,-1.12875723182078,5.13e-03,1.00e+00,0.0181804077509195,90,5220,4645,7250,1764,2806,3261
NACC2,10114,7133.7,2980.3,0.417440046216316,-1.2603590858933,5.13e-03,1.00e+00,0.0181804077509195,90,5813,5871,9717,2063,2593,4285
ANXA11,28268,18921.7,9346.3,0.493854024537262,-1.01784342797185,5.14e-03,1.00e+00,0.0181804077509195,90,17582,15647,23536,7930,7870,12239
KIF9,898,270,628,2.31982829050239,1.21401802362504,5.14e-03,1.00e+00,0.0181804077509195,90,264,277,269,590,510,784
PRKCA,1043.3,788,255.3,0.327450545536018,-1.61065106029054,5.14e-03,1.00e+00,0.0182096046315808,90,595,758,1011,419,178,169
CA13,107,20.3,86.7,4.57467052575104,2.1936678421985,5.16e-03,1.00e+00,0.0182606736224352,90,6,20,35,112,92,56
CIZ1,27513,18693,8820,0.471686232752431,-1.08410060177828,5.17e-03,1.00e+00,0.0182920629369583,90,17936,15495,22648,6769,7367,12324
CUX1,12223.7,8264,3959.7,0.478909816369608,-1.06217408762289,5.17e-03,1.00e+00,0.0183015367862548,91,7207,7305,10280,2851,3927,5101
ACHE,1303.7,364.3,939.3,2.57137295352146,1.36253887472772,5.18e-03,1.00e+00,0.0183206285775863,91,414,280,399,764,697,1357
RHEBL1,1144.7,794.3,350.3,0.440630881537097,-1.18235748527944,5.19e-03,1.00e+00,0.0183377797262205,91,893,737,753,273,413,365
ZMYM1,4046.7,2928.3,1118.3,0.382951415042348,-1.38476672551425,5.20e-03,1.00e+00,0.0183912241839855,91,2683,3981,2121,1533,1179,643
CFAP70,52.3,7.7,44.7,5.28305964210404,2.4013736970154,5.21e-03,1.00e+00,0.0184045693807585,91,11,12,0,50,35,49
RPS28P4,97,20.3,76.7,3.59694562552002,1.84677235063661,5.21e-03,1.00e+00,0.0184045693807585,91,29,18,14,55,66,109
CACNA1D,227.3,35.7,191.7,5.7219036222992,2.5164951976258,5.22e-03,1.00e+00,0.0184273150721094,91,20,6,81,206,191,178
RPS6KA4,8530,6118.3,2411.7,0.393880374142124,-1.34417056123884,5.22e-03,1.00e+00,0.0184465309310515,91,4676,4355,9324,2087,1847,3301
SLC25A25,5279.7,1751,3528.7,2.01560943746172,1.0112161164051,5.23e-03,1.00e+00,0.0184590235766019,91,1606,1427,2220,3013,3530,4043
RARG,7021.3,4820,2201.3,0.45620647838256,-1.13224116102988,5.23e-03,1.00e+00,0.0184605765341028,91,4174,4047,6239,1759,1852,2993
MAOA,834,600.3,233.7,0.386343600299943,-1.37204359467445,5.23e-03,1.00e+00,0.0184810645937647,92,678,683,440,254,163,284
SH3RF3,1326,1080.3,245.7,0.226178213250624,-2.14446812731502,5.24e-03,1.00e+00,0.0184883269499311,92,912,813,1516,58,371,308
NKD1,489.7,356.3,133.3,0.367779484407801,-1.44308708976673,5.24e-03,1.00e+00,0.0184903778095718,92,369,381,319,121,92,187
IPO5,14610.7,9930,4680.7,0.471511709314214,-1.0846344962886,5.24e-03,1.00e+00,0.0184946721966701,92,10157,12572,7061,5598,4975,3469
POLR2I,2613.7,739.7,1874,2.53027843386091,1.33929614897023,5.24e-03,1.00e+00,0.0184946721966701,92,748,569,902,1360,1440,2822
WRAP53,7628,5248.3,2379.7,0.452820391710564,-1.14298916684723,5.24e-03,1.00e+00,0.0184946721966701,92,5031,4501,6213,1782,1934,3423
FAM124A,486,366,120,0.320988595569401,-1.63940605426174,5.25e-03,1.00e+00,0.0184984039935694,92,313,315,470,95,76,189
LINC01063,72.3,14.3,58,4.16222705723304,2.05735566891973,5.25e-03,1.00e+00,0.0185218355003308,92,17,5,21,52,48,74
SRXN1,1000,739.3,260.7,0.34961946023602,-1.51614260568776,5.26e-03,1.00e+00,0.0185259764390986,92,699,533,986,237,166,379
SNHG15,5971.7,1895.7,4076,2.14939259533084,1.10392902097254,5.26e-03,1.00e+00,0.0185369437796871,92,2059,1739,1889,2577,5017,4634
C19orf53,11588.7,3759.3,7829.3,2.08164387389195,1.05772327453734,5.26e-03,1.00e+00,0.0185409751931676,92,4448,3257,3573,7296,5671,10521
CHCHD5,2195,639,1556,2.43342487090631,1.28298823381343,5.27e-03,1.00e+00,0.0185578754056514,92,703,414,800,1297,1333,2038
TMEM181,7406.7,4870,2536.7,0.520947430627419,-0.940790298966352,5.29e-03,1.00e+00,0.0186252263070604,93,4859,5862,3889,2408,2854,2348
USP36,13054,8945,4109,0.459147725455272,-1.12296969616513,5.29e-03,1.00e+00,0.0186325651310068,93,7671,7434,11730,2979,3861,5487
CLCN7,14465.7,10105,4360.7,0.431353621250378,-1.21305702731117,5.30e-03,1.00e+00,0.0186605325482754,93,7937,7823,14555,3468,3748,5866
GPX8,4184.7,2770.3,1414.3,0.510233423491868,-0.970770687270813,5.31e-03,1.00e+00,0.0186822484786838,93,2905,3209,2197,1495,1276,1472
NRROS,394,86,308,3.56724769570243,1.83481139437349,5.31e-03,1.00e+00,0.0186822484786838,93,65,89,104,327,137,460
RPRD1B,4167.3,2704.7,1462.7,0.541082882599245,-0.886078493152655,5.31e-03,1.00e+00,0.0186822484786838,93,2738,2786,2590,1541,1479,1368
LINC03052,219.7,53.7,166,3.03016651891972,1.59939707733474,5.32e-03,1.00e+00,0.0187103641091671,93,47,73,41,122,164,212
JPH2,402,297,105,0.358882517195197,-1.47841645027928,5.32e-03,1.00e+00,0.0187139949803898,93,238,271,382,137,93,85
KRT18P48,3246,1100.7,2145.3,1.94910738072878,0.962813574114242,5.32e-03,1.00e+00,0.0187139949803898,93,1084,1007,1211,2381,1820,2235
SND1-DT,52.3,5,47.3,8.61146457325716,3.10625862123293,5.33e-03,1.00e+00,0.0187317535139224,93,1,14,0,27,44,71
AGK,6490,4401.7,2088.3,0.474713936083258,-1.07486969158497,5.33e-03,1.00e+00,0.0187357383661586,93,4477,5185,3543,2805,1682,1778
FAM171A2,7773.7,5652.7,2121,0.375051735186565,-1.41483847808147,5.33e-03,1.00e+00,0.0187357383661586,93,4200,3618,9140,1550,2183,2630
RPL41P5,25.7,4.7,21,4.04370227648375,2.0156767806108,5.34e-03,1.00e+00,0.0187467329066732,93,4,6,4,19,16,28
KRT8P48,132.3,33.7,98.7,2.96259741119053,1.56686259108467,5.34e-03,1.00e+00,0.0187614153377953,93,27,28,46,109,90,97
CEBPB,39987.3,11425.7,28561.7,2.5000540471561,1.32195928397586,5.35e-03,1.00e+00,0.0187933227411623,94,8800,7918,17559,20519,27029,38137
CASZ1,803.7,668.3,135.3,0.206889755271118,-2.27306588702866,5.36e-03,1.00e+00,0.0188233019147308,94,440,368,1197,88,251,67
LINC00174,1026,298.3,727.7,2.43998252673812,1.28687081636254,5.37e-03,1.00e+00,0.0188358318393731,94,310,242,343,504,877,802
BOLA3P3,23.7,4,19.7,5.01235583031041,2.32548883612867,5.37e-03,1.00e+00,0.0188438096995449,94,2,2,8,23,18,18
NDUFAF2P1,128.3,27.7,100.7,3.57558118779325,1.83817776177885,5.37e-03,1.00e+00,0.0188573566051466,94,23,27,33,103,54,145
CTAGE12P,41.3,6,35.3,6.05538759223685,2.59821930665812,5.38e-03,1.00e+00,0.0188702523664633,94,4,11,3,65,22,19
LINC01088,42,6.7,35.3,5.3473648431675,2.41882811314419,5.38e-03,1.00e+00,0.0188786500187369,94,7,2,11,41,19,46
RPL28,24118.3,6707.3,17411,2.59521672396025,1.37585502163792,5.38e-03,1.00e+00,0.0188793943003918,94,7536,5135,7451,9827,14483,27923
CYP11A1,1274,362,912,2.52433258972635,1.33590200300593,5.39e-03,1.00e+00,0.0189019210944382,94,380,365,341,1356,649,731
CFAP418-AS1,44.3,5,39.3,6.59478148307009,2.72132485682117,5.40e-03,1.00e+00,0.0189152319922273,94,12,2,1,19,43,56
CASC18,140,14,126,9.68410132771042,3.27561817477474,5.41e-03,1.00e+00,0.0189702137787279,95,16,0,26,55,260,63
