SYMBOL,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
UCA1,14306.3,14282.7,23.7,0.00173546649635103,-9.17046077084372,1.46e-08,2.55e-04,6.09110898716431e-06,0,13757,15512,13579,47,10,14
EEF1A1P30,503.3,1.7,501.7,334.316522800112,8.38507084826795,1.50e-08,2.61e-04,6.09110898716431e-06,0,1,1,3,686,304,515
CADM1,3706.7,0.7,3706,5516.73953840732,12.4296001528405,1.56e-08,2.72e-04,6.19363042581936e-06,0,0,2,0,5453,2117,3548
FTMT,1101.7,0.7,1101,1637.88574578662,10.6776190068815,1.93e-08,3.36e-04,7.49382280332928e-06,0,1,1,0,1226,741,1336
APOD,1096.7,3.7,1093,277.905768931965,8.11845197293915,2.32e-08,4.04e-04,8.69975959161743e-06,0,6,3,2,1495,860,924
FTLP16,1833,0.7,1832.3,2708.99918038513,11.4035442417109,2.34e-08,4.08e-04,8.69975959161743e-06,0,0,0,2,1667,1339,2491
ANGPT2,4984,13,4971,400.670933251647,8.64627404275597,2.48e-08,4.32e-04,9.02459508484937e-06,0,4,15,20,3899,5665,5349
HLA-G,5933.3,144.3,5789,40.1289973796384,5.3265732058148,2.65e-08,4.62e-04,9.45798037709992e-06,0,144,147,142,5981,4445,6941
BIRC7,596.7,595.7,1,0.00235407965691691,-8.73062114580882,2.71e-08,4.73e-04,9.49166620163501e-06,0,550,469,768,1,2,0
HLA-F,9255,233.3,9021.7,38.7049704409375,5.27444694213657,2.81e-08,4.91e-04,9.65432116371144e-06,0,251,209,240,9538,6722,10805
MEF2C,1718.3,1,1717.3,1809.85575411135,10.8216590034507,3.08e-08,5.38e-04,1.02513431062761e-05,0,1,0,2,2775,722,1655
NR4A3,2907,10.7,2896.3,285.176092262928,8.15570922829049,3.11e-08,5.43e-04,1.02513431062761e-05,0,3,12,17,3111,2587,2991
PRDM1,242.7,1.7,241,160.95304786563,7.33049608624858,3.23e-08,5.63e-04,1.02513431062761e-05,0,1,1,3,204,290,229
RPSAP11,444,1,443,360.250034032759,8.49285475646591,3.28e-08,5.72e-04,1.02513431062761e-05,0,1,0,2,437,287,605
BTG1,17504,594.3,16909.7,28.4038362762335,4.82801389091751,3.28e-08,5.72e-04,1.02513431062761e-05,0,648,689,446,18729,16043,15957
PPIAP7,512.3,2.3,510,197.940264042279,7.6289212979947,3.35e-08,5.84e-04,1.02760528307721e-05,0,4,2,1,677,342,511
CFL1P4,3300,12.3,3287.7,259.555741949613,8.01990059347673,3.86e-08,6.73e-04,1.16379373368782e-05,0,14,13,10,3894,1899,4070
ARID1B,495,1,494,521.505477108439,9.02653859449616,3.96e-08,6.90e-04,1.17365948427189e-05,0,0,1,2,670,400,412
HLA-DRB5,2427.3,12.3,2415,184.996584218322,7.53135482280398,4.06e-08,7.09e-04,1.18491448840587e-05,0,17,15,5,2368,1921,2956
SORL1,331.7,1.3,330.3,269.942941484399,8.07651068321094,4.36e-08,7.59e-04,1.23478639924271e-05,0,1,0,3,360,314,317
RPSAP46,387.3,1.7,385.7,217.147907157184,7.7625342381295,4.38e-08,7.63e-04,1.23478639924271e-05,0,3,0,2,383,282,492
EEF1A1P17,2439,7,2432,326.181421796572,8.34953080307763,4.55e-08,7.93e-04,1.25352473345997e-05,0,9,8,4,3385,1486,2425
ATP6V0CP2,595.3,0.7,594.7,883.597842078707,9.7872460851246,4.59e-08,7.99e-04,1.25352473345997e-05,0,1,1,0,610,474,700
CLEC4M,1006.7,1,1005.7,1056.08928670603,10.0445160966715,4.77e-08,8.32e-04,1.28487310851742e-05,0,0,2,1,599,712,1706
CD244,590.7,2,588.7,330.351047957883,8.36785611109425,5.01e-08,8.73e-04,1.32823370640014e-05,0,0,2,4,349,782,635
IGFBP7,2697.3,9,2688.3,300.570718357629,8.23156065831742,5.16e-08,9.00e-04,1.3324811789312e-05,0,8,8,11,3162,1505,3398
HLA-DQB1,2260.3,37.3,2223,60.0773953402886,5.90875036095017,5.18e-08,9.03e-04,1.3324811789312e-05,0,35,31,46,1897,2075,2697
PPIAP15,323,1,322,264.638440568794,8.04787882807288,5.50e-08,9.58e-04,1.39315373006148e-05,0,2,0,1,424,239,303
HSPA1L,18790.3,60,18730.3,315.061921664183,8.29949159076344,5.65e-08,9.84e-04,1.41098959333669e-05,0,28,74,78,15637,12991,27563
S100A2,34188,1006.7,33181.3,32.9318429187583,5.04141134460858,6.40e-08,1.12e-03,1.5768573025387e-05,0,1283,904,833,27867,28580,43097
SH3BGRL,287.3,1,286.3,304.493957271233,8.25026978768851,7.09e-08,1.24e-03,1.711798049448e-05,0,1,1,1,418,235,206
HSPA8P11,669,2.7,666.3,213.890898733524,7.7407312855018,7.14e-08,1.24e-03,1.711798049448e-05,0,5,3,0,666,547,786
HCLS1,347.3,1.3,346,231.652468228022,7.85581824396268,7.29e-08,1.27e-03,1.71549977407665e-05,0,3,1,0,379,215,444
PTPRC,612,1,611,646.643748786614,9.33682730630519,7.36e-08,1.28e-03,1.71549977407665e-05,0,0,2,1,964,383,486
HSPA8P4,606.3,4,602.3,141.406393378063,7.14370353966962,7.46e-08,1.30e-03,1.71682385656144e-05,0,4,2,6,620,485,702
COL3A1,45924.7,436.3,45488.3,104.658092706756,6.70954006234775,7.93e-08,1.38e-03,1.79296760350696e-05,0,381,293,635,31059,42863,62543
PPIAP71,512,2,510,285.878639714332,8.15925901845501,7.99e-08,1.39e-03,1.79296760350696e-05,0,1,1,4,667,244,619
MTUS1,280.7,1,279.7,294.623801293549,8.2027301735128,8.34e-08,1.45e-03,1.84768367046066e-05,0,0,1,2,307,252,280
NR4A1,27008.3,703.7,26304.7,37.3801907072725,5.22420202436996,8.77e-08,1.53e-03,1.91771548554907e-05,0,725,648,738,16348,27471,35095
NCKAP1L,1454.7,0.7,1454,2166.43731079543,11.08110877527,9.03e-08,1.57e-03,1.92868677294319e-05,0,0,2,0,2269,909,1184
GAPDHP46,456.7,3.3,453.3,132.442453928677,7.04922183650369,9.04e-08,1.57e-03,1.92868677294319e-05,0,4,2,4,523,310,527
RPL13P6,512.7,2.3,510.3,219.273703124873,7.77658899382378,9.22e-08,1.61e-03,1.9435558402667e-05,0,4,0,3,523,329,679
KRT7,19147,320,18827,58.7140437361282,5.87563371585802,9.50e-08,1.65e-03,1.94833223296031e-05,0,414,244,302,11799,19606,25076
LAPTM5,2837.3,12.3,2825,230.206674822201,7.84678585466659,9.62e-08,1.67e-03,1.94833223296031e-05,0,10,11,16,3548,1486,3441
FGD2,315.3,1.3,314,209.092474923179,7.70799733115527,9.62e-08,1.67e-03,1.94833223296031e-05,0,3,0,1,284,223,435
SPOCD1,2267.7,2224.3,43.3,0.0197825084402701,-5.65963081702009,9.69e-08,1.69e-03,1.94833223296031e-05,0,2145,1886,2642,58,35,37
PEAR1,3661.7,3607.3,54.3,0.0155537792199856,-6.00659102424269,9.89e-08,1.72e-03,1.9668490439028e-05,0,3135,2966,4721,64,67,32
ZNF488,3299.7,3222.7,77,0.0235679787977094,-5.40702815216906,1.01e-07,1.76e-03,1.98853625685605e-05,0,2489,3127,4052,59,80,92
MYL6P2,587.3,2.7,584.7,187.816728407217,7.55318175604289,1.08e-07,1.88e-03,2.09624624999493e-05,0,5,3,0,662,456,636
ACTC1,1772.7,9.7,1763,176.658475583683,7.46481915717039,1.11e-07,1.93e-03,2.13713815972813e-05,0,11,8,10,2605,1196,1488
MS4A6A,1673.7,0.7,1673,2489.07506561251,11.2813940244844,1.14e-07,1.99e-03,2.1664606059263e-05,0,0,2,0,796,2404,1819
RPSAP3,149,2,147,71.7110767508316,6.16412407489177,1.16e-07,2.02e-03,2.1664606059263e-05,0,2,2,2,169,108,164
ACTG1P21,3180,14.7,3165.3,221.747705254715,7.79277536471923,1.19e-07,2.07e-03,2.1664606059263e-05,0,14,9,21,3698,1682,4116
MAF,407.3,1,406.3,426.636750246695,8.73686443373512,1.19e-07,2.08e-03,2.1664606059263e-05,0,1,1,1,487,187,545
DAB2,1155.7,0.7,1155,1715.97509176387,10.7448128962119,1.20e-07,2.08e-03,2.1664606059263e-05,0,1,0,1,1715,587,1163
AIF1,1051.7,0.7,1051,1561.1003301438,10.608347545328,1.20e-07,2.09e-03,2.1664606059263e-05,0,0,1,1,1579,576,998
H3P38,114.3,1.3,113,75.1458159464788,6.23162087326305,1.23e-07,2.15e-03,2.18772320677675e-05,0,1,2,1,130,80,129
RPL7AP5,159.7,1.3,158.3,129.800691485102,7.02015425877796,1.24e-07,2.15e-03,2.18772320677675e-05,0,1,2,1,207,99,169
UCP3,1530.3,5,1525.3,287.657747028124,8.16820951432872,1.27e-07,2.21e-03,2.22550760715719e-05,0,9,3,3,1423,885,2268
ZFAND2A,7752.7,370.7,7382,19.8847340255998,4.31358935994653,1.36e-07,2.37e-03,2.35541294580777e-05,0,430,336,346,6612,9416,6118
RPL18AP16,201,1.7,199.3,112.01496053151,6.80754761887213,1.39e-07,2.41e-03,2.38086386533451e-05,0,2,1,2,241,114,243
CXCL14,1002,2.7,999.3,382.090613510834,8.57777100646595,1.43e-07,2.49e-03,2.43015190975612e-05,0,1,2,5,1196,374,1428
MARCKS,9804.7,35.3,9769.3,274.187001534752,8.0990163682374,1.45e-07,2.53e-03,2.43600011608546e-05,0,19,58,29,12330,5008,11970
RPS8P5,276,1,275,288.267795093232,8.17126585957834,1.46e-07,2.54e-03,2.43600011608546e-05,0,1,0,2,293,197,335
IRF8,2197,8,2189,250.493885163522,7.9686315758222,1.48e-07,2.58e-03,2.43985498213187e-05,0,16,6,2,2405,1426,2736
ACTG1P14,14513.7,276.3,14237.3,51.6159347764287,5.68974461545841,1.49e-07,2.59e-03,2.43985498213187e-05,0,273,206,350,17561,8329,16822
EGR2,837.3,3,834.3,245.105619906049,7.9372597532028,1.59e-07,2.76e-03,2.57373248617473e-05,0,6,0,3,543,1043,917
H3P43,473.7,2.3,471.3,164.991449632916,7.3662474512651,1.63e-07,2.83e-03,2.60909059174433e-05,0,1,5,1,602,287,525
CALM1P2,240.7,2.3,238.3,101.960188293673,6.67186213252854,1.65e-07,2.87e-03,2.61266304761382e-05,0,1,3,3,254,163,298
KDM6A,638.7,1,637.7,430.1582560328,8.74872371747263,1.66e-07,2.89e-03,2.61266304761382e-05,0,1,2,0,1182,282,449
EEF1A1P29,1002.3,6,996.3,155.318500151125,7.27908587066979,1.69e-07,2.94e-03,2.61266304761382e-05,0,7,5,6,1384,629,976
HCK,1645,2.3,1642.7,579.300491429436,9.17816807864515,1.71e-07,2.96e-03,2.61266304761382e-05,0,7,0,0,2342,875,1711
CXCR4,409.3,1.3,408,231.595762343119,7.85546504542269,1.71e-07,2.97e-03,2.61266304761382e-05,0,4,0,0,318,428,478
FOS,80488,1542.7,78945.3,51.2149005369547,5.67849170595822,1.72e-07,2.98e-03,2.61266304761382e-05,0,1293,1214,2121,61247,59855,115734
EEF1A1P15,734.7,0.3,734.3,1095.44680530201,10.0973037136819,1.88e-07,3.27e-03,2.83458782725248e-05,0,1,0,0,1041,478,684
