id	filename	md5	size	state
352c6cf8-4526-404f-a200-1c184a753d1e	352c6cf8-4526-404f-a200-1c184a753d1e/nationwidechildrens.org_clinical.TCGA-PZ-A5RE.xml	1fb0e90c23a522e56d2175083ece0d4a	58815	validated
36c318a9-65a9-44d4-b875-5a0b20f66796	36c318a9-65a9-44d4-b875-5a0b20f66796/nationwidechildrens.org_clinical.TCGA-2J-AAB9.xml	fdda9ed3eaab181a4f206fd624627b3a	39617	validated
387c7083-0e9d-4113-b893-d5ad844ccabc	387c7083-0e9d-4113-b893-d5ad844ccabc/nationwidechildrens.org_clinical.TCGA-2L-AAQJ.xml	3b071f050e88a24240f3be0634bd798c	42703	validated
3e0e2d09-0a12-4b30-8b2c-fe57e8819690	3e0e2d09-0a12-4b30-8b2c-fe57e8819690/nationwidechildrens.org_clinical.TCGA-HZ-A4BH.xml	635756f6bd44a3728f9e753b54384ec4	36199	validated
3ea2512b-05be-499c-8880-ccc0cd2a1453	3ea2512b-05be-499c-8880-ccc0cd2a1453/nationwidechildrens.org_clinical.TCGA-FB-AAPU.xml	62f464ceaadadf45836d0ec58d9cb5f8	36923	validated
40681e0b-c56b-4b70-9b8c-dda56c0eb14e	40681e0b-c56b-4b70-9b8c-dda56c0eb14e/nationwidechildrens.org_clinical.TCGA-Z5-AAPL.xml	b3cd557fc46863923c19205b6fad1132	54037	validated
408699d9-1ba9-4eb8-a63b-c8ed6360b2b4	408699d9-1ba9-4eb8-a63b-c8ed6360b2b4/nationwidechildrens.org_clinical.TCGA-FB-AAPQ.xml	92d52d8c8c9c2860893afa2fb0547fbb	42297	validated
41a59ea3-0664-4b31-8c83-6a95bf7cbea7	41a59ea3-0664-4b31-8c83-6a95bf7cbea7/nationwidechildrens.org_clinical.TCGA-HZ-A9TJ.xml	e324cfa50d26b8999ac6f3a0db3cf627	72185	validated
428b6b9c-220c-48d7-a3a4-59deab39bbf1	428b6b9c-220c-48d7-a3a4-59deab39bbf1/nationwidechildrens.org_clinical.TCGA-IB-7897.xml	632158d2a481c139a5dc99f25184b85f	37730	validated
44aef4e3-f966-4036-a0bd-87dac1d1fd6d	44aef4e3-f966-4036-a0bd-87dac1d1fd6d/nationwidechildrens.org_clinical.TCGA-3A-A9I5.xml	b7f75a778ae117f723eb10171ffcec37	53240	validated
46ce0d85-51e4-43a7-93bd-812918d6b9ed	46ce0d85-51e4-43a7-93bd-812918d6b9ed/nationwidechildrens.org_clinical.TCGA-HZ-8315.xml	a6ce5f2178a87aba155e84d9f0fff962	36400	validated
493666d3-2702-446e-a969-476f7624257a	493666d3-2702-446e-a969-476f7624257a/nationwidechildrens.org_clinical.TCGA-FZ-5921.xml	0d946f68d5092a98cf124ce37b74632a	33184	validated
4d4166c3-2620-42f0-8650-2936f4cbeea1	4d4166c3-2620-42f0-8650-2936f4cbeea1/nationwidechildrens.org_clinical.TCGA-FZ-5923.xml	187986a1fde02c70f04d19fe97ff28ec	42465	validated
51b5daa4-7da3-4bcb-bf84-0681696312a3	51b5daa4-7da3-4bcb-bf84-0681696312a3/nationwidechildrens.org_clinical.TCGA-HZ-A8P1.xml	fa9fd4d62733ca9cf52776a5ee08854e	28450	validated
51dad3b8-349a-4d49-b460-e43bea5a568a	51dad3b8-349a-4d49-b460-e43bea5a568a/nationwidechildrens.org_clinical.TCGA-IB-A7M4.xml	b1baad85f10e31a97e3c0a39d8919ca9	37000	validated
524b84ee-e503-4ac2-b677-1ede25e56279	524b84ee-e503-4ac2-b677-1ede25e56279/nationwidechildrens.org_clinical.TCGA-IB-7647.xml	02d56e4607dbe7dbe5a9dcca90a2ac87	43372	validated
524fc73e-cd06-4f92-9f67-69191f604f87	524fc73e-cd06-4f92-9f67-69191f604f87/nationwidechildrens.org_clinical.TCGA-FB-AAPZ.xml	fb704568ece5754e94c94cb9229faa86	48902	validated
52b78741-1dd6-457b-9843-1fac775f5b38	52b78741-1dd6-457b-9843-1fac775f5b38/nationwidechildrens.org_clinical.TCGA-RB-AA9M.xml	2009f914f56ba3a20e002c7f5b27c0f4	47870	validated
52ccf9cd-0dc9-478a-94bb-2020e37d2df2	52ccf9cd-0dc9-478a-94bb-2020e37d2df2/nationwidechildrens.org_clinical.TCGA-HZ-8638.xml	cc55092e8bcad1a40d012f850b47f861	36481	validated
53983444-b85f-4c30-96c4-c8dfe22f7c4c	53983444-b85f-4c30-96c4-c8dfe22f7c4c/nationwidechildrens.org_clinical.TCGA-LB-A8F3.xml	20e7c430bd5e8b950edc6b43617047c5	58565	validated
57282f7e-2096-4825-9ecf-48f65de5590a	57282f7e-2096-4825-9ecf-48f65de5590a/nationwidechildrens.org_clinical.TCGA-IB-A7LX.xml	4dad487ef7b77d720c9e04cb8ce6ba0f	66617	validated
57be0d5e-3437-4b17-b7d1-662334ab5939	57be0d5e-3437-4b17-b7d1-662334ab5939/nationwidechildrens.org_clinical.TCGA-IB-7888.xml	2a530693f6903f908685e3d8dce32cc5	54634	validated
58542d7c-7012-4142-8778-3ec621772d94	58542d7c-7012-4142-8778-3ec621772d94/nationwidechildrens.org_clinical.TCGA-S4-A8RM.xml	3431f728c37d6aa5d3fcada4ac357905	51598	validated
59bbbeec-d1f5-42af-801a-5db4b779c81d	59bbbeec-d1f5-42af-801a-5db4b779c81d/nationwidechildrens.org_clinical.TCGA-FB-AAPS.xml	36929b1a89fe5c77da80aa48f9034c86	36319	validated
59e25868-a299-4f1a-a036-26289cf70ed6	59e25868-a299-4f1a-a036-26289cf70ed6/nationwidechildrens.org_clinical.TCGA-IB-AAUO.xml	2d73c02481678d4b42eeded1e9ac1c3f	53130	validated
5a601122-9795-46e1-97db-cdca7aece0f7	5a601122-9795-46e1-97db-cdca7aece0f7/nationwidechildrens.org_clinical.TCGA-3A-A9IB.xml	24d8faa19828016301eeb122d932083d	28490	validated
5db819b5-46de-4301-80b8-9ba34c9b9f90	5db819b5-46de-4301-80b8-9ba34c9b9f90/nationwidechildrens.org_clinical.TCGA-FB-AAPP.xml	e448737d537c9597b23f545372980993	59546	validated
5e6aa830-d32d-4daa-b8e4-e5e105d04c48	5e6aa830-d32d-4daa-b8e4-e5e105d04c48/nationwidechildrens.org_clinical.TCGA-F2-A7TX.xml	e291625764ea9ec821cc89f91cbb2308	28642	validated
61085935-ff56-4086-ba12-d45cb1299e2d	61085935-ff56-4086-ba12-d45cb1299e2d/nationwidechildrens.org_clinical.TCGA-Q3-AA2A.xml	795a3cdfb8a7c126b2a298c4cc393ea5	36511	validated
