"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","c-1","c-2","c-3","d-1","d-2","d-3"
"ID3",8973.66666666667,5608.33333333333,3365.33333333333,6.89558155699908,0.600094101868383,-0.736739344743063,"8.5e-22","1.7e-17",1.94203245702131e-19,1.67014791303833e-17,5558,5484,5783,3654,3074,3368
"MMP2",103547.666666667,40647.6666666667,62900,10.4228381722776,1.54737662852361,0.629824388753007,"8.5e-22","1.7e-17",1.94203245702131e-19,1.68956823760854e-17,41659,39676,40608,62511,66409,59780
"SLC7A11",1865,1292.66666666667,572.333333333333,4.6352539764447,0.444152888155262,-1.17087172232973,"1.1e-21","2.1e-17",2.41562837062604e-19,2.12575296615092e-17,1243,1354,1281,508,538,671
"MYL9",18511,6742,11769,7.9389293671913,1.74529576975647,0.803471546121255,"1.1e-21","2.3e-17",2.55743519298962e-19,2.27611732176076e-17,6532,6841,6853,13023,11831,10453
"NAMPT",20322.6666666667,12306,8016.66666666667,8.07422569625371,0.651527200350082,-0.618102684334908,"1.3e-21","2.6e-17",2.87749846228348e-19,2.58974861605513e-17,12549,12239,12130,7509,8243,8298
"COL5A2",29159,11765.3333333333,17393.6666666667,8.59462755402642,1.47835711473583,0.563994811720963,"1.4e-21","2.7e-17",2.9939275232428e-19,2.72447404615095e-17,12068,11733,11495,16912,17739,17530
"TNFAIP3",2198.66666666667,1427.66666666667,771,4.87084935161077,0.54085206931693,-0.886694044359741,"1.4e-21","2.8e-17",3.01487250495913e-19,2.7736827045624e-17,1449,1367,1467,734,752,827
"EFEMP1",24287.6666666667,9676,14611.6666666667,8.33092965896494,1.5101611054787,0.59470246589275,"1.7e-21","3.3e-17",3.53509787584702e-19,3.28764102453773e-17,9847,9661,9520,13835,15061,14939
"OAS1",11024.6666666667,6692.66666666667,4332,7.19225923077224,0.647476472909271,-0.627100323761977,"1.8e-21","3.6e-17",3.8993827904393e-19,3.66541982301294e-17,6649,6725,6704,4054,4459,4483
"GFPT2",4830.66666666667,2953.33333333333,1877.33333333333,6.00297677447144,0.635879013158366,-0.653175800636647,"2.3e-21","4.5e-17",4.72309990468597e-19,4.48694490945167e-17,2926,2876,3058,1875,1848,1909
"SRGN",8897,5481.66666666667,3415.33333333333,6.88323204675402,0.623467123227571,-0.681614609262402,"3.3e-21","6.6e-17",6.9218982474656e-19,6.64502231756698e-17,5431,5672,5342,3268,3293,3685
"ATP13A2",4680.66666666667,1704.66666666667,2976,5.95525774164911,1.74547528475264,0.803619929037764,"5.6e-21","1.1e-16",1.14849551786181e-18,1.11404065232596e-16,1616,1683,1815,3197,2999,2732
"COL17A1",477.666666666667,382,95.6666666666667,2.69199116084663,0.248163052203878,-2.01063975931497,"8.9e-21","1.8e-16",1.8063906467121e-18,1.77026283377786e-16,402,379,365,117,97,73
"AL713998.1",9225.66666666667,5989.66666666667,3236,6.9354846419486,0.539865753250228,-0.889327393534777,"1.1e-20","2.2e-16",2.24524947489008e-18,2.22279698014118e-16,6167,5921,5881,3184,3702,2822
"MAOA",1655.33333333333,1115,540.333333333333,4.46325392748511,0.485786634279363,-1.04160529804686,"1.2e-20","2.3e-16",2.35595803435249e-18,2.35595803435249e-16,1073,1092,1180,530,494,597
"ALDH1A3",5249,3221.33333333333,2027.66666666667,6.12277154939693,0.63007021205608,-0.666415490177964,"1.3e-20","2.6e-16",2.60933415724959e-18,2.63542749882209e-16,3138,3302,3224,2024,1926,2133
"ADORA2B",2694,1679,1015,5.16224681613743,0.604516337952669,-0.72614676390796,"2.1e-20","4.2e-16",4.13719535611167e-18,4.2199392632339e-16,1697,1676,1664,1018,1004,1023
"ANTXR2",6427,3855.66666666667,2571.33333333333,6.41435926044832,0.666939911981143,-0.584371307378277,"2.3e-20","4.6e-16",4.51028706684039e-18,4.64559567884561e-16,3795,3841,3931,2585,2581,2548
"ASNS",3261.66666666667,2111.33333333333,1150.33333333333,5.43792618638495,0.545658241739201,-0.87393045385394,"2.6e-20","5.0e-16",4.86823809403945e-18,5.06296761780103e-16,2055,2213,2066,1080,1082,1289
"PMEPA1",5667.33333333333,2193.66666666667,3473.66666666667,6.23146071402901,1.58246150049201,0.6621704009333,"5.0e-20","1.0e-15",9.53419993036865e-18,1.00109099268871e-15,2197,2188,2196,3517,3662,3242
"DCDC2C",1063,750.666666666667,312.333333333333,3.82932470291073,0.417008628994711,-1.26185085779038,"6.1e-20","1.2e-15",1.14610704033912e-17,1.21487346275947e-15,727,757,768,325,270,342
"VCAN",34654.6666666667,14096,20558.6666666667,8.84372591181154,1.45849368746632,0.54447914209434,"6.6e-20","1.3e-15",1.23266149894357e-17,1.31894780386961e-15,14126,14186,13976,19753,21273,20650
"ZC3H12A",2206.66666666667,1402.66666666667,804,4.8752020107153,0.572429582895346,-0.80482986308558,"7.6e-20","1.5e-15",1.39835759069973e-17,1.51022619795571e-15,1427,1407,1374,835,818,759
"AEN",5358,3262.66666666667,2095.33333333333,6.15228363673932,0.64248013041556,-0.638276257225508,"9.0e-20","1.8e-15",1.62941865018941e-17,1.77606632870646e-15,3200,3247,3341,2162,1982,2142
"LMO3",3811.33333333333,1430,2381.33333333333,5.65925811316824,1.66667096220254,0.736969312450398,"1.1e-19","2.3e-15",2.06163420104811e-17,2.26779762115292e-15,1349,1443,1498,2257,2372,2515
"SELENOP",7797.33333333333,2851,4946.33333333333,6.69170373330967,1.73485628777865,0.794816157618316,"1.6e-19","3.1e-15",2.77498371134816e-17,3.08023191959646e-15,3020,2700,2833,4443,5457,4939
"SQSTM1",31317,18599,12718,8.69782624690385,0.683738750503856,-0.548482903327046,"1.7e-19","3.4e-15",3.00226990615744e-17,3.36254229489633e-15,18353,18385,19059,13221,12667,12266
"FMO1",133.333333333333,16.6666666666667,116.666666666667,0.80290170291285,6.92718250143878,2.79226868313769,"1.7e-19","3.4e-15",3.00226990615744e-17,3.3925649939579e-15,20,17,13,128,119,103
"DDX58",9317.66666666667,5530,3787.66666666667,6.94965764051944,0.685082903502855,-0.545649512310054,"1.7e-19","3.4e-15",3.01099852811592e-17,3.43253832205215e-15,5428,5584,5578,3727,3821,3815
"NFKBIZ",2893.33333333333,1846.66666666667,1046.66666666667,5.26527547771455,0.567042188702453,-0.818472017272735,"2.7e-19","5.4e-15",4.72951812326759e-17,5.43894584175773e-15,1932,1776,1832,1118,950,1072
"HERC5",1330.66666666667,885.333333333333,445.333333333333,4.14884942753653,0.50317055121247,-0.990880606022648,"3.1e-19","6.1e-15",5.26957337707963e-17,6.11270511741237e-15,840,890,926,443,443,450
"COLEC12",6060,2315.33333333333,3744.66666666667,6.32805560595728,1.61680327697055,0.693144150917598,"3.8e-19","7.5e-15",6.42594916548851e-17,7.51836052362155e-15,2404,2238,2304,3593,4071,3570
"PHLDA1",20744.6666666667,12445,8299.66666666667,8.10380701306828,0.667082212759411,-0.584063521436662,"5.0e-19","9.8e-15",8.37884368132525e-17,9.8870355439638e-15,12021,12741,12573,8344,7842,8713
"JAG1",6653.33333333333,3993.66666666667,2659.66666666667,6.46419385167676,0.666088419839423,-0.586214394472481,"5.9e-19","1.2e-14",9.8785741450716e-17,1.17555032326352e-14,3983,4022,3976,2533,2746,2700
"SH2B3",7711,4582,3129,6.67679377728941,0.682811857494785,-0.550439982918331,"8.7e-19","1.7e-14",1.44269490737155e-16,1.73123388884586e-14,4567,4482,4697,3159,3110,3118
"NEDD4L",15330,9014,6316,7.66755349026569,0.700708661368634,-0.513113365579861,"9.0e-19","1.8e-14",1.47312786683768e-16,1.7824847188736e-14,8936,8978,9128,6217,6434,6297
"PAPPA",2266,1459.66666666667,806.333333333333,4.91413257936894,0.552367513946379,-0.856299621139741,"9.1e-19","1.8e-14",1.47312786683768e-16,1.79721599754197e-14,1468,1490,1421,730,882,807
"C4A",7668.66666666667,2538.66666666667,5130,6.66742043363451,2.01971899117076,1.01415458097412,"9.6e-19","1.9e-14",1.53554951556487e-16,1.88872590414479e-14,2573,2867,2176,5825,4844,4721
"AC116533.1",3238.66666666667,1154.66666666667,2084,5.42387249751124,1.80274996878067,0.850199317006598,"9.6e-19","1.9e-14",1.53554951556487e-16,1.90408139930044e-14,1247,1154,1063,2161,2195,1896
"THSD4",2527.66666666667,1590.66666666667,937,5.07029005289784,0.588706151336024,-0.764380392571146,"1.8e-18","3.6e-14",2.92240545059309e-16,3.65300681324136e-14,1559,1553,1660,983,943,885
"INSYN2B",626,478,148,3.07608143200171,0.310141729501538,-1.68900044157598,"1.9e-18","3.7e-14",2.96677247367728e-16,3.73813331683338e-14,502,509,423,117,167,160
"C15orf48",786,558.333333333333,227.666666666667,3.39795404339871,0.408207635336148,-1.29262492731689,"2.0e-18","3.9e-14",3.12659416972902e-16,3.97077459555586e-14,536,592,547,246,213,224
"ITGB1",188108.666666667,77238.3333333333,110870.333333333,11.2841144147791,1.43542602117753,0.521478979008659,"2.2e-18","4.3e-14",3.36925974613452e-16,4.31265247505219e-14,78513,77867,75335,109278,111270,112063
"HMCN1",1656.33333333333,548.666666666667,1107.66666666667,4.45661421464058,2.02054630210453,1.01474541217527,"4.1e-18","8.0e-14",6.25856705304785e-16,8.07355149843173e-14,525,624,497,1081,1080,1162
"NCEH1",3512,2187.66666666667,1324.33333333333,5.54389206466396,0.605756762837966,-0.723189488469787,"5.8e-18","1.1e-13",8.7930804021421e-16,1.14310045227847e-13,2078,2254,2231,1387,1223,1363
"SAA2",381,289.333333333333,91.6666666666667,2.36871031844936,0.316373737445603,-1.66029824991087,"6.3e-18","1.2e-13",9.55168101270749e-16,1.25127021266468e-13,272,303,293,97,90,88
"ITPR1",6507.66666666667,3857.33333333333,2650.33333333333,6.43218351379453,0.686954111576952,-0.541714364419665,"7.1e-18","1.4e-13",1.05947622434687e-15,1.39850861613787e-13,3881,3812,3879,2661,2684,2606
