"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","c-1","c-2","c-3","regulated"
"AKAP11",4765,222.666666666667,4542.33333333333,5.89508694603043,20.3743004219504,4.34867861827476,"0.0e+00","0.0e+00",0,0,216,192,260,4503,4668,4456,"up"
"AKAP9",3672.33333333333,59.3333333333333,3613,5.52418084093869,60.6249600922831,5.92183998738898,"0.0e+00","0.0e+00",0,0,80,44,54,3480,3649,3710,"up"
"AKIP1",9098.33333333333,7838.66666666667,1259.66666666667,6.81053186017444,0.160804251166672,-2.63662254747497,"0.0e+00","0.0e+00",0,0,7830,7636,8050,1314,1218,1247,"down"
"AKT2",111340.666666667,106482,4858.66666666667,10.4277807094981,0.045624545463121,-4.4540460037466,"0.0e+00","0.0e+00",0,0,109123,108309,102014,4788,4844,4944,"down"
"AL713998.1",5200.33333333333,2.66666666666667,5197.66666666667,6.02138195388265,1839.103089099,10.8447866355177,"0.0e+00","0.0e+00",0,0,0,0,8,5359,5138,5096,"up"
"ALAS1",16755.3333333333,14544.3333333333,2211,7.69345455389909,0.151998603615883,-2.71787002494017,"0.0e+00","0.0e+00",0,0,14321,15029,14283,2203,2133,2297,"down"
"AMOTL1",3823.66666666667,477,3346.66666666667,5.57821567056997,7.01525230227171,2.8104949910427,"0.0e+00","0.0e+00",0,0,497,446,488,3276,3381,3383,"up"
"AMOTL2",19850.6666666667,16848.6666666667,3002,7.93852447784417,0.178158374513041,-2.48876779449518,"0.0e+00","0.0e+00",0,0,16815,17346,16385,2973,2980,3053,"down"
"AMPD3",13429.3333333333,13257,172.333333333333,7.3723957401037,0.0129905273473529,-6.26639619193979,"0.0e+00","0.0e+00",0,0,13212,13320,13239,166,174,177,"down"
"ANAPC11",4910.66666666667,4278.33333333333,632.333333333333,5.91665617194235,0.147727548493798,-2.75898920738058,"0.0e+00","0.0e+00",0,0,4309,4415,4111,611,661,625,"down"
"ANGPTL4",39413,39369.6666666667,43.3333333333333,8.92850508579177,0.00108295383142878,-9.85081254549103,"0.0e+00","0.0e+00",0,0,39484,40571,38054,23,59,48,"down"
"ANKIB1",5526,714.333333333333,4811.66666666667,6.10535694140178,6.73245329694677,2.75113231678087,"0.0e+00","0.0e+00",0,0,700,759,684,4839,4856,4740,"up"
"ANKRD17",8075.66666666667,678,7397.66666666667,6.6504230017228,10.9165223020267,3.44844142214204,"0.0e+00","0.0e+00",0,0,742,613,679,7543,7212,7438,"up"
"ANKRD33B",4828.33333333333,4252,576.333333333333,5.89185029685671,0.135328365434223,-2.88546382850567,"0.0e+00","0.0e+00",0,0,4209,4376,4171,540,563,626,"down"
"ANO9",7936.66666666667,7929.66666666667,7,6.61043058323803,0.000916371185745508,-10.0917802841059,"0.0e+00","0.0e+00",0,0,7922,8171,7696,9,7,5,"down"
"ANPEP",115971,115940.666666667,30.3333333333333,10.4865402799538,0.000265667031221551,-11.8780931763516,"0.0e+00","0.0e+00",0,0,116044,118749,113029,34,33,24,"down"
"ANXA11",25056.3333333333,20507.6666666667,4548.66666666667,8.27509036959123,0.221811489384534,-2.17259399878003,"0.0e+00","0.0e+00",0,0,21104,20653,19766,4513,4481,4652,"down"
"ANXA5",82324,67642.6666666667,14681.3333333333,9.99222507342301,0.217040229849448,-2.20396561431453,"0.0e+00","0.0e+00",0,0,65065,68379,69484,14677,14648,14719,"down"
"AP5Z1",6583.33333333333,5724.66666666667,858.666666666667,6.3417726830765,0.149875640625072,-2.73816217461141,"0.0e+00","0.0e+00",0,0,5720,5979,5475,810,865,901,"down"
"APBA2",2467.66666666667,6.33333333333333,2461.33333333333,4.95916329054077,382.820475246893,8.58052418455994,"0.0e+00","0.0e+00",0,0,3,16,0,2341,2433,2610,"up"
"APC",3529,182.333333333333,3346.66666666667,5.46618200648978,18.3356365746202,4.19657844913467,"0.0e+00","0.0e+00",0,0,198,161,188,3365,3257,3418,"up"
"ARFGEF1",3918.33333333333,319.666666666667,3598.66666666667,5.61474019547104,11.2527452566008,3.49220510387884,"0.0e+00","0.0e+00",0,0,335,294,330,3650,3582,3564,"up"
"ARHGAP21",6703.33333333333,291,6412.33333333333,6.38401066833562,22.0289334890203,4.46132774483551,"0.0e+00","0.0e+00",0,0,318,278,277,6480,6422,6335,"up"
"ARHGAP28",3067,2,3065,5.26816885047512,1591.21513751369,10.6359131906272,"0.0e+00","0.0e+00",0,0,6,0,0,3027,3179,2989,"up"
"ARHGAP4",9719,8625.33333333333,1093.66666666667,6.90559144617825,0.126747990667632,-2.97996521848179,"0.0e+00","0.0e+00",0,0,8673,8494,8709,1066,1098,1117,"down"
"ARHGEF12",11214.3333333333,1172,10042.3333333333,7.12183259438506,8.56570713275928,3.09857235136638,"0.0e+00","0.0e+00",0,0,1103,1144,1269,9912,10096,10119,"up"
