"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","b-1","b-2","b-3"
"RAD23A",8202.33333333333,1217.66666666667,6984.66666666667,6.77143658793195,5.7366077542403,2.52019787577992,"4.1e-276","6.2e-272",1.83848364588953e-273,6.25084439602441e-272,1217,1290,1146,7055,6756,7143
"NOLC1",7837,1161.33333333333,6675.66666666667,6.70569854643506,5.74733301174284,2.52289264417437,"1.5e-273","2.4e-269",6.7361806886974e-271,2.35766324104409e-269,1088,1176,1220,6504,6620,6903
"TNFRSF1B",58544.6666666667,46001.6666666667,12543,9.6062177223736,0.272672781345103,-1.8747573996884,"5.0e-272","7.6e-268",2.12851710769627e-269,7.66266158770658e-268,45627,47285,45093,12704,12637,12288
"ATP1A1",22458,17880,4578,8.2240797225403,0.25605635950873,-1.96546670405764,"1.4e-270","2.1e-266",5.76048064834039e-268,2.13137783988594e-266,17369,17996,18275,4720,4490,4524
"PERP",46134.6666666667,9634,36500.6666666667,9.26258066387291,3.78848072838959,1.92161940906901,"5.6e-262","8.6e-258",2.25798991317559e-259,8.58036167006726e-258,9212,9707,9983,36172,36531,36799
"ITGA5",172095,133609,38486,11.161753546234,0.288053013635649,-1.79559374339043,"2.3e-261","3.6e-257",9.12801041228238e-259,3.55992406079013e-257,131663,135981,133183,38989,38506,37963
"PSMC3",19966.6666666667,3995,15971.6666666667,8.05445752105402,3.99768232141553,1.99916383188043,"3.6e-260","5.5e-256",1.38868666408166e-257,5.55474665632665e-256,3810,4168,4007,15969,15812,16134
"ACAT1",5654,781,4873,6.23491715209164,6.24108766927083,2.64179747753636,"2.8e-255","4.2e-251",1.0375157257811e-252,4.25381447570252e-251,822,804,717,4765,4984,4870
"IL32",18949,14836.3333333333,4112.66666666667,7.97899359400301,0.277194629722867,-1.85102878743835,"5.1e-253","7.8e-249",1.85440510754865e-250,7.78850145170434e-249,14799,15042,14668,4087,4232,4019
"PLEK2",17275,13857.3333333333,3417.66666666667,7.84558760400151,0.24660790449989,-2.01970905183749,"9.3e-252","1.4e-247",3.31854449567191e-249,1.42697413313892e-247,13507,13965,14100,3249,3467,3537
"PRDX4",5325.66666666667,711.666666666667,4614,6.14875790277206,6.4794620694484,2.69587404428996,"1.2e-250","1.9e-246",4.3214311358683e-248,1.90142969978205e-246,656,743,736,4448,4797,4597
