"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","b-1","b-2","b-3"
"POLRMT",3469,1360.33333333333,2108.66666666667,5.53058314116739,1.55036369338979,0.632606691048937,"4.8e-14","5.8e-10",2.38964069045103e-13,7.30752123139926e-10,1399,1338,1344,2195,2214,1917
"AKAP1",4260.66666666667,1755,2505.66666666667,5.82716178034754,1.42755815604197,0.513549519475562,"4.9e-14","6.1e-10",2.47482706702827e-13,7.57049599803947e-10,1750,1701,1814,2472,2472,2573
"GJA1",17219,7266,9953,7.84093500483982,1.36974526030942,0.453907611535898,"4.9e-14","6.1e-10",2.47482706702827e-13,7.5729708251065e-10,6965,7165,7668,10192,10083,9584
"ZCCHC14",947,316.666666666667,630.333333333333,3.66227314147449,1.99023341057229,0.992937637064527,"5.0e-14","6.1e-10",2.47867539771411e-13,7.5872253924029e-10,300,335,315,677,621,593
"B3GALNT1",855.666666666667,593,262.666666666667,3.51621792946548,0.443327742097087,-1.17355445010673,"5.0e-14","6.1e-10",2.50580059769467e-13,7.67276143014109e-10,604,518,657,291,256,241
"MEG3",3784.33333333333,2382.33333333333,1402,5.6561557253894,0.588512958188651,-0.764853913253738,"5.0e-14","6.2e-10",2.51605067753369e-13,7.70666322528568e-10,2350,2346,2451,1613,1362,1231
"SOX12",1854.33333333333,684.333333333333,1170,4.6286595723811,1.70998458653106,0.773983320996895,"5.2e-14","6.3e-10",2.58683809292424e-13,7.92607191671986e-10,736,689,628,1219,1129,1162
"DDX21",8516.33333333333,3515.33333333333,5001,6.82551762157979,1.42260888048938,0.50853907455699,"5.3e-14","6.4e-10",2.6257104858734e-13,8.04780263920198e-10,3563,3434,3549,4734,4916,5353
"NIBAN2",24408.6666666667,14687.3333333333,9721.33333333333,8.34420389903057,0.661874639332959,-0.595370101931878,"5.3e-14","6.6e-10",2.67083394861113e-13,8.18877688644173e-10,15256,15160,13646,10573,9816,8775
"TIE1",29.3333333333333,28.6666666666667,0.666666666666667,-1.17165040109312,0.0274434945676295,-5.18739198835201,"5.4e-14","6.6e-10",2.69555130207506e-13,8.2672558434642e-10,29,24,33,0,2,0
"SMARCB1",4374,1742.33333333333,2631.66666666667,5.86501875664163,1.51081684276939,0.595328772319658,"5.5e-14","6.7e-10",2.72725290744902e-13,8.3672119200536e-10,1796,1831,1600,2706,2509,2680
"MDH1",14363.6666666667,8230,6133.66666666667,7.57941641633268,0.745281185882382,-0.424143254625272,"5.5e-14","6.7e-10",2.74661546162863e-13,8.42936285173825e-10,7995,8172,8523,6323,6021,6057
"NXPE3",1359.33333333333,865.333333333333,494,4.18171592198471,0.571135627622446,-0.808094711709632,"5.5e-14","6.8e-10",2.74977555445662e-13,8.44181095218181e-10,852,859,885,490,519,473
"ALDH3B1",569.666666666667,172,397.666666666667,2.93360398724805,2.31203521444234,1.20916337159051,"5.5e-14","6.8e-10",2.76076438052522e-13,8.47830741259295e-10,163,178,175,366,417,410
"HEXA",16139,9541,6598,7.74754314296622,0.691597672654086,-0.531995080817604,"5.6e-14","6.9e-10",2.8003503870081e-13,8.60267638888888e-10,9101,9667,9855,7191,6419,6184
"RCL1",3191.66666666667,1241.33333333333,1950.33333333333,5.41068168562547,1.57144030713028,0.652087470836787,"5.6e-14","6.9e-10",2.81482544987578e-13,8.64995860746826e-10,1246,1329,1149,2001,2015,1835
"TRIM23",483.333333333333,349.333333333333,134,2.69737954731096,0.383283918550988,-1.38351462665618,"5.7e-14","7.0e-10",2.84826651126019e-13,8.75557125561384e-10,313,354,381,129,150,123
"IDUA",600.666666666667,428.333333333333,172.333333333333,3.00908351404256,0.40267893635279,-1.31229808625939,"5.8e-14","7.1e-10",2.89778731225997e-13,8.91069598519942e-10,449,468,368,167,189,161
"SMIM3",1386.33333333333,918,468.333333333333,4.20983620851384,0.510218413107464,-0.970813130052268,"5.8e-14","7.1e-10",2.90464714001225e-13,8.93469460267769e-10,917,934,903,507,505,393
"NDST1",15622.6666666667,8888.66666666667,6734,7.70056597884878,0.757572693471535,-0.400543764745246,"5.9e-14","7.2e-10",2.92665807084699e-13,9.00532688399618e-10,8691,9131,8844,6838,6618,6746
"SLC39A6",1499,974.333333333333,524.666666666667,4.3222958219499,0.538518100070114,-0.892933259045363,"5.9e-14","7.2e-10",2.93443645340007e-13,9.03219540356542e-10,977,897,1049,528,479,567
"B4GALT6",828,565.666666666667,262.333333333333,3.46827537889711,0.463836401079612,-1.10831205024558,"6.0e-14","7.3e-10",2.97681122554135e-13,9.1656017634418e-10,626,568,503,274,249,264
"YJU2",2080.66666666667,791.666666666667,1289,4.79466817462363,1.62892528160375,0.70392042931955,"6.1e-14","7.5e-10",3.04320652601626e-13,9.37307610013008e-10,838,747,790,1331,1238,1298
"DNAJC14",7646.66666666667,3133.66666666667,4513,6.67028454438952,1.44029978550006,0.52636912697366,"6.2e-14","7.6e-10",3.08023117421594e-13,9.49019224775931e-10,3198,2947,3256,4663,4258,4618
"DCAF5",2156,821,1335,4.84575359245411,1.62538512644865,0.70078159764064,"6.2e-14","7.6e-10",3.08414969013072e-13,9.50534934498287e-10,831,772,860,1266,1368,1371
"PRKAG2",2812.33333333333,1110.33333333333,1702,5.22852994391118,1.53292975183273,0.616291585447648,"6.2e-14","7.6e-10",3.10327448704416e-13,9.56739524355716e-10,1078,1109,1144,1599,1749,1758
"ZNF644",1934,1189.66666666667,744.333333333333,4.68915384405742,0.625610409219376,-0.676663577759617,"6.4e-14","7.8e-10",3.17791765015139e-13,9.80069803306689e-10,1182,1179,1208,734,770,729
"DNAJC11",8043.33333333333,3375.66666666667,4667.66666666667,6.74319783877477,1.38279912508404,0.46759159590031,"6.4e-14","7.9e-10",3.20226069056701e-13,9.87897423039923e-10,3362,3355,3410,4779,4430,4794
"WNT11",278.666666666667,68,210.666666666667,1.91183456413269,3.10090933295357,1.63269134381234,"6.6e-14","8.0e-10",3.25744850249221e-13,1.0052486078691e-09,70,78,56,199,224,209
"DPCD",1211.66666666667,425,786.666666666667,4.01652514079447,1.85083864982191,0.888179131163134,"6.6e-14","8.1e-10",3.27304014144965e-13,1.01038749166551e-09,433,400,442,783,836,741
"CCR10",130.666666666667,112.666666666667,18,0.835013125213806,0.158239116601088,-2.65982181776508,"6.6e-14","8.1e-10",3.28227230594624e-13,1.0135656880762e-09,138,107,93,14,27,13
"SERF2",31781,12995.6666666667,18785.3333333333,8.7249174545424,1.44556451713476,0.531632999318762,"7.0e-14","8.5e-10",3.45726007342511e-13,1.06794763668102e-09,13855,12315,12817,19224,17301,19831
"DANCR",1625.33333333333,1065.66666666667,559.666666666667,4.43882463406991,0.525272738496235,-0.928861383908689,"7.1e-14","8.7e-10",3.54148919414489e-13,1.09432016099077e-09,1160,914,1123,533,569,577
"PTPRM",572,401.666666666667,170.333333333333,2.93926229871461,0.424799312585045,-1.23514666332851,"7.2e-14","8.7e-10",3.54435538632696e-13,1.09556024991366e-09,363,442,400,169,166,176
"HSPA4",12360.6666666667,7085.33333333333,5275.33333333333,7.36282115438724,0.744512567119625,-0.425631893671468,"7.2e-14","8.8e-10",3.55324258021306e-13,1.09866260580188e-09,6927,7052,7277,5204,5165,5457
"PIK3CA",585.333333333333,453.666666666667,131.666666666667,2.97140211475164,0.290493207325628,-1.7834236657574,"7.2e-14","8.8e-10",3.58016051969691e-13,1.10734364874225e-09,426,417,518,173,130,92
"CDK4",33383.3333333333,13679,19704.3333333333,8.79589071532177,1.44050959767873,0.526579272769484,"7.4e-14","9.1e-10",3.68886400179237e-13,1.14133452215456e-09,13189,13712,14136,21128,20089,17896
"MID1IP1",4565.66666666667,1775,2790.66666666667,5.92678910538382,1.57232025819103,0.652895102994735,"7.5e-14","9.2e-10",3.71224456714319e-13,1.14893969353082e-09,1926,1761,1638,2979,2801,2592
"LPCAT1",5362,2153,3209,6.15857781102966,1.49062029957155,0.57591281182137,"7.6e-14","9.3e-10",3.76695606570888e-13,1.16624959794347e-09,2276,1953,2230,3266,3212,3149
"LNPEP",495.333333333333,372,123.333333333333,2.73218128280423,0.330603774743292,-1.59682489786652,"7.6e-14","9.4e-10",3.78372886436555e-13,1.17182082929401e-09,406,299,411,113,146,111
"AREL1",2524.66666666667,1521.33333333333,1003.33333333333,5.07310170960295,0.659482285716635,-0.600594186967772,"7.7e-14","9.4e-10",3.78647067311303e-13,1.17304861453042e-09,1500,1488,1576,1013,986,1011
"PHF10",2441,1525,916,5.02459909984803,0.600763365941971,-0.735131253715009,"7.9e-14","9.7e-10",3.91705156595098e-13,1.21389428028821e-09,1449,1465,1661,861,903,984
"IL17RB",692.333333333333,481.666666666667,210.666666666667,3.21240018363215,0.437925500048825,-1.1912426356817,"7.9e-14","9.7e-10",3.92566500357884e-13,1.21695615110944e-09,476,440,529,224,220,188
"CRELD2",2679.66666666667,1034,1645.66666666667,5.15889812979842,1.5915881092989,0.670467025858548,"8.0e-14","9.8e-10",3.94772930174505e-13,1.22419085647114e-09,1096,1068,938,1696,1615,1626
"GDA",707,494.666666666667,212.333333333333,3.24272474261428,0.429292524131882,-1.21996704553924,"8.0e-14","9.8e-10",3.96727678911666e-13,1.23064925998399e-09,428,510,546,229,210,198
"TRAPPC4",5892.66666666667,3430.66666666667,2462,6.29456159572017,0.717527438780988,-0.478894092316662,"8.1e-14","9.9e-10",3.98513814462405e-13,1.23658836627684e-09,3415,3362,3515,2479,2532,2375
"LXN",1937,1220.33333333333,716.666666666667,4.69096463489844,0.587454159920454,-0.767451814844814,"8.2e-14","1.0e-09",4.05233414840099e-13,1.25784451966367e-09,1315,1189,1157,694,688,768
"ANO6",1865.66666666667,1186,679.666666666667,4.6374508434909,0.57334552842533,-0.802523249261861,"8.3e-14","1.0e-09",4.07761304517407e-13,1.26609885052655e-09,1093,1305,1160,697,644,698
"TNS4",740.333333333333,498,242.333333333333,3.3085020775014,0.486539567282562,-1.03937095956002,"8.3e-14","1.0e-09",4.07839071758155e-13,1.26674815688083e-09,516,500,478,234,254,239
"POC1B",973.666666666667,646.333333333333,327.333333333333,3.70204506903156,0.506436523201356,-0.981546642053548,"8.4e-14","1.0e-09",4.13072937642891e-13,1.28341761725646e-09,639,634,666,317,362,303
"ZMIZ1",2908.33333333333,1754,1154.33333333333,5.27688299505546,0.658244550298516,-0.603304422846714,"8.4e-14","1.0e-09",4.14282014108675e-13,1.28758849984976e-09,1790,1786,1686,1168,1090,1205
"IER5",9801,5763.33333333333,4037.66666666667,7.02815088416449,0.700575644749296,-0.513387260630014,"8.4e-14","1.0e-09",4.14282014108675e-13,1.28800278186387e-09,5989,5794,5507,4188,4171,3754
"RASSF4",271.333333333333,207.333333333333,64,1.87318609435537,0.309519861157453,-1.69189610814886,"8.7e-14","1.1e-09",4.28605821331076e-13,1.33296410433965e-09,211,223,188,77,60,55
"BPNT1",3828,2312,1516,5.67269039854363,0.655557382829422,-0.609206025653014,"8.9e-14","1.1e-09",4.37190416022174e-13,1.36009938424498e-09,2219,2318,2399,1407,1640,1501
"SLC1A5",45594.6666666667,19845,25749.6666666667,9.24556677063135,1.29756636997697,0.37580833371824,"9.0e-14","1.1e-09",4.44082146476856e-13,1.38198363983598e-09,19854,20157,19524,26083,25985,25181
"MORN1",444,128.333333333333,315.666666666667,2.57583872771289,2.45892814490271,1.29802957694003,"9.3e-14","1.1e-09",4.55838712053975e-13,1.41902591062402e-09,118,139,128,321,315,311
"FOXRED2",1831.33333333333,685.333333333333,1146,4.61050229946862,1.67224474404925,0.741786010807717,"9.4e-14","1.1e-09",4.6248533630249e-13,1.44017933724595e-09,744,662,650,1150,1134,1154
"DYNLL1",24624,10641.6666666667,13982.3333333333,8.35691439069236,1.31395070304421,0.393911149474712,"9.6e-14","1.2e-09",4.74498998615679e-13,1.47806438068784e-09,10842,10670,10413,14181,13525,14241
"RAB27B",2328.66666666667,852,1476.66666666667,4.95648586095085,1.73326964173951,0.793496109512493,"9.7e-14","1.2e-09",4.79065026219754e-13,1.49276662170075e-09,807,778,971,1505,1507,1418
"AC245060.7",411.666666666667,86.6666666666667,325,2.46895543290573,3.74867336136277,1.90638012264598,"9.8e-14","1.2e-09",4.82519866512774e-13,1.50401442392032e-09,84,106,70,419,286,270
"SDR16C5",140.333333333333,116.666666666667,23.6666666666667,0.937710877210719,0.20389659014853,-2.29409044614855,"1.0e-13","1.2e-09",4.93933626063989e-13,1.54008504606752e-09,119,142,89,21,26,24
"MTSS2",840.333333333333,229.666666666667,610.666666666667,3.49064401581918,2.65671510128684,1.40964352553325,"1.0e-13","1.2e-09",5.01036567989768e-13,1.56273305556009e-09,267,256,166,595,595,642
"IFNL3",9434,5522.33333333333,3911.66666666667,6.97302953904514,0.708309912004868,-0.497547363555162,"1.0e-13","1.3e-09",5.0322163154524e-13,1.57005149042115e-09,5446,5915,5206,3864,3887,3984
"TMEM209",351,262.666666666667,88.3333333333333,2.23992009958114,0.336336534770307,-1.572022593843,"1.0e-13","1.3e-09",5.11304058863589e-13,1.59577996771326e-09,246,235,307,81,98,86
"MTHFD2",34844.6666666667,15112.6666666667,19732,8.85768961299732,1.30566927815725,0.384789513128447,"1.1e-13","1.3e-09",5.15254079722601e-13,1.60862323689396e-09,14847,14833,15658,19902,19739,19555
"PDK2",2535.33333333333,999.333333333333,1536,5.0790085113762,1.53749747089463,0.620584037293651,"1.1e-13","1.3e-09",5.15549475406703e-13,1.61006101169513e-09,976,1061,961,1541,1513,1554
"GJB4",52,49.3333333333333,2.66666666666667,-0.423165907756246,0.0564531873777327,-4.14680115112842,"1.1e-13","1.3e-09",5.15746603803439e-13,1.61119239028194e-09,48,37,63,0,4,4
"HTR1B",591.333333333333,178.333333333333,413,2.9870410161661,2.31427234446396,1.2105586513459,"1.1e-13","1.3e-09",5.21208838342448e-13,1.62877761982015e-09,182,165,188,445,377,417
"APLP1",2255.66666666667,1373.33333333333,882.333333333333,4.91075340718084,0.642633657462772,-0.637931552012946,"1.1e-13","1.3e-09",5.23076135582923e-13,1.63513599983222e-09,1428,1375,1317,869,889,889
"SHMT2",23811.3333333333,13420,10391.3333333333,8.30847229457648,0.774302661313135,-0.369030494117943,"1.1e-13","1.3e-09",5.36538525303416e-13,1.67775596862378e-09,13591,13340,13329,10444,10295,10435
"MAP3K12",1494,962.666666666667,531.333333333333,4.31739741185611,0.55214132159205,-0.856890520156461,"1.1e-13","1.4e-09",5.42994519138774e-13,1.69848685586608e-09,1018,935,935,580,532,482
"AC022966.2",96.3333333333333,86.3333333333333,10,0.414132201273099,0.113285215805784,-3.14196849917806,"1.1e-13","1.4e-09",5.44513005287681e-13,1.70378119354515e-09,90,66,103,8,17,5
"CYP27B1",505.333333333333,368.333333333333,137,2.76088686328849,0.372127237676805,-1.42613210317911,"1.1e-13","1.4e-09",5.5676586315494e-13,1.74267715167496e-09,324,426,355,131,127,153
"PPIC",4537.66666666667,2665.66666666667,1872,5.91782105798188,0.702285903592036,-0.509869617457936,"1.1e-13","1.4e-09",5.6092790985317e-13,1.75626528575027e-09,2671,2644,2682,1940,1902,1774
"ERC1",1795,681.333333333333,1113.66666666667,4.58179142349171,1.63529725204964,0.709552901827043,"1.2e-13","1.4e-09",5.71055691964942e-13,1.7885464272342e-09,691,688,665,1165,1072,1104
"ABCG2",4994,2935,2059,6.05598217875059,0.701465421988719,-0.511556105446901,"1.2e-13","1.4e-09",5.75524969012368e-13,1.80311972791575e-09,2921,2864,3020,2097,2127,1953
"TPRKB",5616.33333333333,2257,3359.33333333333,6.22536869038544,1.4884668353079,0.573827077088302,"1.2e-13","1.4e-09",5.77233313988136e-13,1.80904920603882e-09,2350,2075,2346,3200,3526,3352
"NLRC5",317.333333333333,235,82.3333333333333,2.09555757161978,0.348975963458279,-1.51880042405059,"1.2e-13","1.4e-09",5.79408614531965e-13,1.81644600655771e-09,226,241,238,72,96,79
"TCEAL3",5224.66666666667,3266.33333333333,1958.33333333333,6.12111246231169,0.59952398982691,-0.738110610952869,"1.2e-13","1.5e-09",5.8298386642301e-13,1.82823740510256e-09,3151,3361,3287,1679,1984,2212
"PLCH2",1740,1155.66666666667,584.333333333333,4.53701523854013,0.505627969118898,-0.983851825610689,"1.2e-13","1.5e-09",5.83610225878391e-13,1.83078527858051e-09,1182,1231,1054,653,612,488
"ARPC4",27469.6666666667,11947.3333333333,15522.3333333333,8.51463696865205,1.29929064710675,0.377724193092448,"1.2e-13","1.5e-09",5.84183421796662e-13,1.83316757759793e-09,12114,12088,11640,15767,15437,15363
"CYGB",146.333333333333,125.666666666667,20.6666666666667,1.00131281849301,0.166740419795981,-2.58432422229237,"1.2e-13","1.5e-09",5.84310960731678e-13,1.83415210573674e-09,138,97,142,31,13,18
"NUF2",516.666666666667,363,153.666666666667,2.79322780155598,0.42403827867164,-1.2377335896341,"1.2e-13","1.5e-09",5.84425288061624e-13,1.8350954045135e-09,376,354,359,140,166,155
"EMC10",7440,4606.33333333333,2833.66666666667,6.63076739136266,0.61524743180143,-0.700761364365772,"1.2e-13","1.5e-09",5.97636271590017e-13,1.87717552906424e-09,4849,4816,4154,3137,2822,2542
"RGS10",2496.33333333333,1519,977.333333333333,5.05656997955027,0.643323477867945,-0.636383754585237,"1.2e-13","1.5e-09",5.99924917858201e-13,1.88496409191047e-09,1576,1501,1480,962,1036,934
"UBE3C",5030,2080.66666666667,2949.33333333333,6.06646879170803,1.41739341191606,0.503240248478341,"1.2e-13","1.5e-09",5.99924917858201e-13,1.88556401682833e-09,1966,2149,2127,2980,2930,2938
"SH3BP5L",4342,1715.33333333333,2626.66666666667,5.8543661275083,1.53106228881706,0.614532977768771,"1.2e-13","1.5e-09",6.06441921101113e-13,1.9066533999419e-09,1897,1619,1630,2592,2714,2574
"CD55",6660,2729.66666666667,3930.33333333333,6.47103126052949,1.43982687672233,0.525895353952834,"1.3e-13","1.5e-09",6.16502566921881e-13,1.93890057296932e-09,2604,2663,2922,3790,3926,4075
"TRMU",2106.33333333333,1290.66666666667,815.666666666667,4.8118921919679,0.632163615474819,-0.661630092363413,"1.3e-13","1.6e-09",6.28734088511913e-13,1.97799744245848e-09,1240,1274,1358,819,815,813
"HMX3",2839.33333333333,1127.66666666667,1711.66666666667,5.24218773793854,1.51793281087738,0.6021079333362,"1.3e-13","1.6e-09",6.3304653946591e-13,1.99219745969922e-09,1122,1120,1141,1667,1644,1824
"MRI1",1119.33333333333,730,389.333333333333,3.90177666561588,0.533286133335376,-0.907018279764219,"1.3e-13","1.6e-09",6.35655285000071e-13,2.00104283718022e-09,675,732,783,394,398,376
"FAM111A-DT",663,472.333333333333,190.666666666667,3.15032398791332,0.403712450859708,-1.30860001335366,"1.3e-13","1.6e-09",6.36829143857658e-13,2.00537497400776e-09,475,454,488,184,230,158
"DYNLT3",1047.33333333333,693,354.333333333333,3.80641190673082,0.511367221178948,-0.967568408610096,"1.3e-13","1.6e-09",6.3881790436557e-13,2.01227639875154e-09,643,716,720,332,343,388
"CHPF2",5444,3189,2255,6.18031591929239,0.707194364474867,-0.499821316731203,"1.3e-13","1.6e-09",6.40550901775533e-13,2.0183758914947e-09,3165,3290,3112,2296,2322,2147
"CPTP",4406,1782.33333333333,2623.66666666667,5.8755906986061,1.47224501559473,0.558017789172081,"1.3e-13","1.6e-09",6.41172533958003e-13,2.02097582703563e-09,1850,1796,1701,2792,2518,2561
"SNRPD3",8134.66666666667,3355,4779.66666666667,6.7594568633818,1.42472481899647,0.510683294290349,"1.3e-13","1.6e-09",6.42477715207789e-13,2.02573223605016e-09,3438,3257,3370,4480,4766,5093
"TMEM201",1181.33333333333,411.333333333333,770,3.97930887100167,1.87226365231699,0.904783609658029,"1.3e-13","1.6e-09",6.46212856148672e-13,2.03815534829291e-09,413,421,400,729,846,735
"TMF1",463,340,123,2.6350187707881,0.362360268205981,-1.4645033183239,"1.3e-13","1.6e-09",6.46652160190568e-13,2.04018756540124e-09,378,305,337,135,132,102
"RAD50",458.666666666667,323.333333333333,135.333333333333,2.62386453029868,0.41970246418995,-1.25256116117466,"1.3e-13","1.6e-09",6.5404655887643e-13,2.06417093981401e-09,319,339,312,137,137,132
"SLC43A3",269.666666666667,209.666666666667,60,1.86408537863904,0.285282506390615,-1.80953681175073,"1.4e-13","1.7e-09",6.60056068367886e-13,2.08379700783742e-09,175,201,253,68,52,60
"FOS",491.333333333333,131.333333333333,360,2.72122904120464,2.74290824427857,1.45570636198263,"1.4e-13","1.7e-09",6.60178459823264e-13,2.08484357612187e-09,162,109,123,361,351,368
"SPART",1455.33333333333,927.333333333333,528,4.28022204869006,0.569763057557717,-0.811566012021797,"1.4e-13","1.7e-09",6.67757510410973e-13,2.10944597538826e-09,915,936,931,571,487,526
"TIMM50",162216,69715,92501,11.0764675765983,1.3268495909295,0.408004838892976,"1.4e-13","1.7e-09",6.67757510410973e-13,2.11011373289868e-09,71138,70315,67692,94901,93972,88630
"IRF2BP1",666.333333333333,202.666666666667,463.666666666667,3.15873544998009,2.2837924906935,1.19143157090751,"1.4e-13","1.7e-09",6.75803994929559e-13,2.13621642797234e-09,193,189,226,495,477,419
"CBR1",2788.33333333333,1110.66666666667,1677.66666666667,5.21609088523751,1.51032384232634,0.594857924136936,"1.4e-13","1.7e-09",6.8719899838306e-13,2.17292323288724e-09,1091,1174,1067,1684,1637,1712
"MAP2K4",893,616,277,3.57762298588798,0.449620258018591,-1.1532210560266,"1.4e-13","1.7e-09",6.9553485891953e-13,2.19997675876247e-09,609,544,695,300,286,245
"TBL2",3694.33333333333,1475,2219.33333333333,5.62149247395522,1.50432024280428,0.589111723614634,"1.4e-13","1.7e-09",6.9553485891953e-13,2.20067229362139e-09,1490,1411,1524,2167,2383,2108
"SNX10",753,562,191,3.33274041888392,0.340157475499575,-1.55572529991934,"1.4e-13","1.8e-09",7.00028951046201e-13,2.21559163006122e-09,501,550,635,139,196,238
"ZFP36L2",1811,670,1141,4.59434935292836,1.70326631768607,0.768304028185014,"1.5e-13","1.8e-09",7.0201517647243e-13,2.22258004871172e-09,671,623,716,1092,1211,1120
"RPS10",83156.3333333333,35875.3333333333,47281,10.1124891625736,1.31792055713136,0.39826340882328,"1.5e-13","1.8e-09",7.09700531175564e-13,2.24762158223301e-09,37080,34622,35924,48326,47379,46138
"KCTD7",2709.66666666667,1024,1685.66666666667,5.1750105046317,1.64556351647433,0.718581713568932,"1.5e-13","1.8e-09",7.20896328672713e-13,2.28379956923515e-09,923,1030,1119,1790,1648,1619
"BAIAP3",472,347.333333333333,124.666666666667,2.66176268144487,0.358590715993923,-1.47958995794408,"1.5e-13","1.9e-09",7.44123878325596e-13,2.35812857041381e-09,381,330,331,152,113,109
"OSBPL11",504.666666666667,138,366.666666666667,2.76034894104951,2.65393465365865,1.40813284847629,"1.6e-13","1.9e-09",7.58788306230325e-13,2.40535893075013e-09,148,138,128,429,346,325
"KCNJ14",276.666666666667,55.6666666666667,221,1.90266320806592,3.95266493349039,1.98282566340948,"1.6e-13","1.9e-09",7.64477756538905e-13,2.42415896598487e-09,59,39,69,245,179,239
"DNAJC9",9134,3675.33333333333,5458.66666666667,6.92649772836473,1.48498005769395,0.570443556710065,"1.6e-13","1.9e-09",7.6575543955383e-13,2.42897625426475e-09,3626,3357,4043,5381,5633,5362
"MT-ATP8",54022.6666666667,16074,37948.6666666667,9.49026725093188,2.36083756390578,1.23929878116443,"1.6e-13","2.0e-09",7.90552322539426e-13,2.5084225194176e-09,17731,15308,15183,27527,37688,48631
"RECQL",894,609,285,3.57981581856774,0.468522102496563,-1.09381098636249,"1.7e-13","2.0e-09",8.01300764066384e-13,2.5433286251467e-09,602,544,681,309,266,280
"KIAA0319L",4286,2503.66666666667,1782.33333333333,5.83561010537788,0.711941223122644,-0.490169955675674,"1.7e-13","2.1e-09",8.30679064064828e-13,2.63740602840583e-09,2538,2421,2552,1779,1772,1796
"SNAI1",1809.33333333333,688.333333333333,1121,4.59314208043299,1.62939851710227,0.704339500322842,"1.9e-13","2.3e-09",8.98858198421394e-13,2.85477363818635e-09,674,730,661,1115,1121,1127
"CAMTA2",5778.33333333333,3379,2399.33333333333,6.26628950947349,0.710144379401132,-0.49381572622734,"1.9e-13","2.3e-09",9.02082814300163e-13,2.86591710103162e-09,3324,3494,3319,2474,2442,2282
"CHMP5",15445.6666666667,8775.33333333333,6670.33333333333,7.68411449739727,0.760110611187517,-0.395718720278198,"1.9e-13","2.3e-09",9.06464866476091e-13,2.88074534566102e-09,8756,8555,9015,6533,6775,6703
"MYO18A",1219.33333333333,414,805.333333333333,4.02565626238377,1.94394280392829,0.958985771565645,"1.9e-13","2.3e-09",9.19585137261473e-13,2.92336115135422e-09,382,385,475,797,783,836
"FSD1",1871.33333333333,1208.33333333333,663,4.6415717993879,0.549266580250156,-0.8644215801548,"1.9e-13","2.3e-09",9.23724021965559e-13,2.93744238985048e-09,1271,1257,1097,746,628,615
"FTCD",35.6666666666667,1.33333333333333,34.3333333333333,-0.921910491563696,23.5318590104057,4.55654339246412,"1.9e-13","2.3e-09",9.30598775449087e-13,2.96023470470354e-09,0,4,0,31,32,40
"ATP6V1D",2569.66666666667,1555,1014.66666666667,5.09845053007723,0.652470569644831,-0.616015265978815,"1.9e-13","2.4e-09",9.3461373166348e-13,2.97394089415319e-09,1504,1620,1541,973,1012,1059
"REXO4",5522.66666666667,2230.33333333333,3292.33333333333,6.20101070153093,1.47602845174984,0.561720530885294,"2.0e-13","2.4e-09",9.46298209427276e-13,3.01206720060702e-09,2346,2023,2322,3311,3234,3332
"CLSTN1",15084.6666666667,8612.33333333333,6472.33333333333,7.65004110493941,0.75151251636464,-0.412130962606235,"2.0e-13","2.4e-09",9.49037152276686e-13,3.02173429284897e-09,8685,8763,8389,6333,6342,6742
"AC010457.1",340.666666666667,249.333333333333,91.3333333333333,2.19742138609109,0.366175494561882,-1.44939284951128,"2.0e-13","2.5e-09",9.7728489569309e-13,3.11265239278249e-09,258,263,227,83,101,90
"CCDC51",3484.33333333333,1384.33333333333,2100,5.53742629396502,1.51732092386407,0.601526257833062,"2.1e-13","2.5e-09",9.89981048063899e-13,3.15407961913158e-09,1386,1330,1437,2264,2043,1993
"ZNF251",684.666666666667,205,479.666666666667,3.19553057578514,2.34061388612785,1.22688696327871,"2.1e-13","2.5e-09",1.00388104666004e-12,3.19936889570554e-09,195,211,209,415,474,550
"LINC00958",428.666666666667,104,324.666666666667,2.52553449859912,3.12120374069506,1.64210253415448,"2.1e-13","2.6e-09",1.02203893014258e-12,3.25826010929455e-09,114,73,125,331,325,318
"RBIS",2338.66666666667,885.333333333333,1453.33333333333,4.96266647325908,1.64185144619817,0.715323598779183,"2.1e-13","2.6e-09",1.02902707062568e-12,3.28156732822529e-09,945,881,830,1375,1417,1568
"CA11",813.666666666667,262,551.666666666667,3.44437134315347,2.10501556871302,1.0738309035159,"2.1e-13","2.6e-09",1.03049621892979e-12,3.28728293838602e-09,261,274,251,613,501,541
"LINC01133",19.3333333333333,0,19.3333333333333,-1.68714463006005,155.354778956241,7.27942281147538,"2.3e-13","2.8e-09",1.08867378294536e-12,3.47395804137863e-09,0,0,0,17,19,22
"REEP6",486,343.333333333333,142.666666666667,2.70543592252508,0.41619712416258,-1.26466109850878,"2.3e-13","2.8e-09",1.09908003851908e-12,3.50826348295291e-09,361,333,336,155,130,143
"TMEM217",456.333333333333,358.333333333333,98,2.61474897529927,0.27367376181289,-1.8694709704401,"2.3e-13","2.8e-09",1.09908003851908e-12,3.50936256299143e-09,387,391,297,115,64,115
"CUL4A",7811.66666666667,3300.33333333333,4511.33333333333,6.70108742638741,1.3668979081177,0.450905493893114,"2.4e-13","2.9e-09",1.13315257332825e-12,3.61928931921043e-09,3243,3250,3408,4660,4476,4398
