"name","SYMBOL","ENTREZ","s_MiaFRFP_1","s_MiaFRFP_2","s_MiaFRFP_3","s_Part1Lag_1","s_Part1Lag_2","s_Part1Lag_3"
"ENSG00000005486","RHBDD2",57414,22143,18518,18761,15519,13041,15771
"ENSG00000005513","SOX8",30812,5525,5019,7074,381,492,614
"ENSG00000005700","IBTK",25998,3936,5955,1544,2612,1436,600
"ENSG00000005801","ZNF195",7748,1235,1491,394,1029,916,358
"ENSG00000005810","MYCBP2",23077,1505,2086,933,1231,1083,670
"ENSG00000005812","FBXL3",26224,1486,2451,535,1350,742,223
"ENSG00000005844","ITGAL",3683,9,0,2,44,41,18
"ENSG00000005882","PDK2",5164,7,0,11,88,20,73
"ENSG00000005884","ITGA3",3675,3345,3214,3278,1944,2549,6631
"ENSG00000005889","ZFX",7543,5123,6767,2932,3073,3005,921
"ENSG00000005893","LAMP2",3920,17098,22145,7274,14228,9163,4494
"ENSG00000005961","ITGA2B",3674,4,8,1,4,25,25
"ENSG00000006007","GDE1",51573,6123,5751,3326,3141,2809,1869
"ENSG00000006015","REX1BD",55049,2722,2068,2574,3677,3183,4577
"ENSG00000006016","CRLF1",9244,15762,9707,18730,1928,6374,5903
"ENSG00000006025","OSBPL7",114881,122,96,197,42,32,51
"ENSG00000006047","YBX2",51087,1,2,4,0,0,0
"ENSG00000006062","MAP3K14",9020,11175,9339,9518,962,771,800
"ENSG00000006071","ABCC8",6833,0,2,0,7,0,4
"ENSG00000006118","TMEM132A",54972,6599,5151,10006,3013,3503,4009
"ENSG00000006125","AP2B1",163,52224,58183,29397,12011,11884,7506
"ENSG00000006194","ZNF263",10127,1877,1428,1989,665,854,601
"ENSG00000006210","CX3CL1",6376,82,99,0,36,50,636
"ENSG00000006282","SPATA20",64847,16307,14566,15932,6199,7437,7148
"ENSG00000006283","CACNA1G",8913,19,10,30,0,23,53
"ENSG00000006327","TNFRSF12A",51330,13672,10521,11893,5893,4669,7500
"ENSG00000006377","DLX6",1750,269,246,251,141,168,172
"ENSG00000006432","MAP3K9",4293,577,612,607,319,472,373
"ENSG00000006451","RALA",5898,5062,5235,2229,3375,2561,1694
"ENSG00000006453","BAIAP2L1",55971,5626,5630,5082,1178,1599,1239
"ENSG00000006459","KDM7A",80853,494,570,275,952,797,270
"ENSG00000006468","ETV1",2115,0,19,0,140,1515,299
"ENSG00000006530","AGK",55750,6200,6784,3400,2530,1477,1009
"ENSG00000006534","ALDH3B1",221,11768,9976,11762,3171,755,948
"ENSG00000006576","PHTF2",57157,5916,9902,2426,5039,2476,788
"ENSG00000006606","CCL26",10344,278,210,138,0,9,21
"ENSG00000006607","FARP2",9855,10033,10639,7364,3102,2694,1835
"ENSG00000006625","GGCT",79017,985,1081,505,1139,1033,447
"ENSG00000006634","DBF4",10926,2380,3227,1005,1136,449,209
"ENSG00000006638","TBXA2R",6915,2221,2145,2656,326,358,502
"ENSG00000006652","IFRD1",3475,452,995,203,840,597,205
"ENSG00000006695","COX10",1352,3872,3413,2969,1194,949,880
"ENSG00000006704","GTF2IRD1",9569,2632,2739,3224,733,888,830
"ENSG00000006712","PAF1",54623,5717,5129,4937,3262,2999,2603
"ENSG00000006715","VPS41",27072,4261,5061,1927,2340,2217,1004
"ENSG00000006740","ARHGAP44",9912,1413,1087,1096,247,215,295
"ENSG00000006744","ELAC2",60528,21355,19217,19296,6954,5461,4608
"ENSG00000006747","SCIN",85477,0,0,3,43,9,0
"ENSG00000006756","ARSD",414,4558,4061,4808,3175,4457,4093
"ENSG00000006788","MYH13",8735,0,0,1,5,2,4
