"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007051","BP","GO:0007051","spindle organization","62/1969","197/18888",0.314720812182741,3.01901813128878,9.71793671184676,4.45752990104651e-16,2.38437326706888e-13,2.02359060770954e-13,"SPAG5/ESPL1/CDCA8/UHRF1/AURKA/WDR62/DLG1/CDC20/MISP/CKAP5/TUBGCP4/PLK1/ASPM/AURKB/FLNA/FSD1/TACC3/DDB1/TUBGCP3/KIF4A/TPX2/RCC1/PSRC1/KIFC1/NUMA1/HAUS6/MAP1S/BIRC5/TACC2/STIL/MYBL2/RACGAP1/MYH9/SMC1A/NCOR1/EML3/SUN2/CHMP7/FAM110A/MAP10/CCNB1/CEP192/TUBG1/CCNB2/KIF4B/KIF11/BORA/INTS13/NUP62/DYNC1H1/KIF23/CLTC/CEP97/INCENP/NEK6/KNSTRN/NUF2/PCNT/GPSM2/CENPE/DLGAP5/AUNIP",62
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition","106/1969","455/18888",0.232967032967033,2.23477974539427,9.09524048780222,8.15695068666492e-16,3.99962482002803e-13,3.3944363208367e-13,"ESPL1/CDCA8/MAD1L1/NSUN2/SUSD2/HASPIN/FAM83D/AURKA/TTI1/DLG1/CDC20/KIF14/CDC14B/ATP2B4/RFWD3/ORC1/CDC6/TIMELESS/PLK1/KANK2/TICRR/AURKB/CDK2/SMARCC1/DDB1/PTPN11/SIN3A/PRKDC/EIF2AK4/SMARCD2/AMBRA1/TAOK3/CDC25A/ERCC3/TP53BP1/CTC1/USP28/MAP3K20/CUL4B/BRCA1/DTL/METTL13/ANLN/BIRC5/CDCA5/STIL/PKMYT1/GTSE1/CUL4A/CYP1A1/RBL2/XRCC3/RCC2/WDR76/CRY1/CDC25C/EME1/CDC25B/JADE1/CCAR2/TFDP1/DOT1L/DONSON/TRIP13/CUL3/CDT1/CDC45/EIF4G1/ANKRD17/PAXIP1/BUB1B/RHNO1/RRM2/TOPBP1/GNB1L/ATRIP/CCNB1/CLSPN/RBL1/BLM/DPF2/MDC1/TERT/E2F1/APBB1/CENPF/CACNB4/RRM1/INCENP/BTN2A2/AKT1/CAMSAP3/FZR1/NEK6/KNTC1/KLF11/NUF2/SPC24/CENPE/CDC23/ZW10/DLGAP5/MSH2/EGFR/SMARCA4/LSM11",106
"GO:0006261","BP","GO:0006261","DNA-templated DNA replication","51/1969","160/18888",0.31875,3.0576688674454,8.91675390722027,1.02013700109116e-13,4.61729701109261e-11,3.91864771917123e-11,"POLE/MCM4/HMGA1/MCM2/RFWD3/MCM10/POLD1/ORC1/CDC6/TIMELESS/MCM3/TICRR/CDK2/POLG/MCM7/DNAJA3/MCM6/RPA1/TONSL/FBH1/LIG3/UPF1/POLA1/PARP1/BRCA1/EME1/KAT7/DONSON/GINS1/E2F8/CDT1/CDC45/MCMBP/FEN1/MCM5/TWNK/LIG1/WDHD1/TOPBP1/BLM/RECQL4/RFC1/CHTF18/RTEL1/CIZ1/POLQ/RECQL5/RRM1/POLRMT/CAMSAP3/LRWD1",51
"GO:0051983","BP","GO:0051983","regulation of chromosome segregation","45/1969","131/18888",0.343511450381679,3.2951977017822,8.99271980762768,1.42028195015059e-13,5.96924213906149e-11,5.06602824925896e-11,"ESPL1/KIF2C/NCAPD2/CDCA8/MAD1L1/MKI67/HASPIN/NCAPD3/CDC20/CDCA2/CDC6/PLK1/AURKB/SMARCC1/NCAPG2/TACC3/SMARCD2/ANAPC1/RMI2/MAP3K20/NUMA1/BIRC5/NCAPH/CSNK2A1/XRCC3/RCC2/TRIP13/CUL3/BUB1B/CCNB1/DPF2/CENPF/NCAPG/RAD18/INCENP/NEK6/KNTC1/NUF2/SPC24/CDC27/CENPE/CDC23/ZW10/DLGAP5/SMARCA4",45
"GO:0000075","BP","GO:0000075","cell cycle checkpoint signaling","56/1969","191/18888",0.293193717277487,2.81251545552929,8.58873970866125,3.31258383892768e-13,1.29941622055003e-10,1.10279984083319e-10,"CDCA8/MAD1L1/NSUN2/HASPIN/TTI1/CDC20/CDC14B/RFWD3/ORC1/CDC6/TIMELESS/PLK1/TICRR/AURKB/CDK2/PTPN11/PRKDC/EIF2AK4/TAOK3/TP53BP1/USP28/MAP3K20/BRCA1/DTL/BIRC5/GTSE1/CUL4A/XRCC3/WDR76/CRY1/EME1/CCAR2/DOT1L/DONSON/TRIP13/CDT1/CDC45/BUB1B/RHNO1/TOPBP1/GNB1L/ATRIP/CCNB1/CLSPN/BLM/MDC1/E2F1/CENPF/INCENP/CAMSAP3/FZR1/KNTC1/NUF2/SPC24/ZW10/MSH2",56
"GO:0010948","BP","GO:0010948","negative regulation of cell cycle process","77/1969","316/18888",0.243670886075949,2.33745845414044,8.17921279368028,6.80013598610041e-13,2.50075000888843e-10,2.12235823145134e-10,"ESPL1/CCNF/CDCA8/MAD1L1/NSUN2/SUSD2/HASPIN/TTI1/DLG1/CDC20/CDC14B/RFWD3/ORC1/CDC6/TIMELESS/PLK1/KANK2/TICRR/TOM1L2/AURKB/CDK2/PTPN11/PRKDC/EIF2AK4/TAOK3/TP53BP1/USP28/MAP3K20/BRCA1/DTL/METTL13/BIRC5/TRIM37/PKMYT1/GTSE1/CUL4A/RBL2/BAZ1B/XRCC3/WDR76/CRY1/EME1/JADE1/CCAR2/DOT1L/DONSON/TRIP13/E2F8/CDT1/CDC45/BUB1B/BMP7/RHNO1/TOPBP1/GNB1L/WAPL/ATRIP/CCNB1/CLSPN/RBL1/BLM/CCP110/MDC1/LIF/E2F1/APBB1/CENPF/CACNB4/INCENP/BTN2A2/CAMSAP3/FZR1/KNTC1/NUF2/SPC24/ZW10/MSH2",77
"GO:0045786","BP","GO:0045786","negative regulation of cell cycle","91/1969","405/18888",0.224691358024691,2.15539378891334,8.01841096853391,8.60924425519396e-13,2.97981136456243e-10,2.5289321824545e-10,"ESPL1/CCNF/CDCA8/MAD1L1/NSUN2/SUSD2/HASPIN/TTI1/DLG1/CDC20/CDC14B/RFWD3/ORC1/CDC6/TIMELESS/PLK1/KANK2/TICRR/TOM1L2/AURKB/CDK2/PTPN11/PRKDC/EIF2AK4/TAOK3/TP53BP1/USP28/MAP3K20/CDK5RAP1/BRCA1/DTL/METTL13/BIRC5/TRIM37/PKMYT1/GTSE1/CUL4A/RBL2/BAZ1B/SUV39H1/XRCC3/WDR76/CRY1/EME1/JADE1/CCAR2/DOT1L/DONSON/TRIP13/E2F8/CDT1/CDC45/SCRIB/NHERF1/BUB1B/BMP7/MEN1/RHNO1/ABL1/TOPBP1/GNB1L/WAPL/ATRIP/CCNB1/CLSPN/RBL1/BLM/CCP110/MDC1/LIF/IPO5/E2F1/APBB1/CENPF/CACNB4/FZD3/MAPK12/INCENP/BTN2A2/CAMSAP3/FZR1/TENT5B/KNTC1/NUF2/IPO7/SPC24/NLE1/ZW10/ZBTB17/MSH2/EGFR",91
"GO:0044772","BP","GO:0044772","mitotic cell cycle phase transition","98/1969","451/18888",0.217294900221729,2.08444188694161,7.95181797589642,9.56733874462741e-13,3.12745673185487e-10,2.65423713476681e-10,"ESPL1/CCNF/POLE/CDCA8/MAD1L1/HASPIN/AURKA/DLG1/CDC20/KIF14/IQGAP3/CDC14B/RFWD3/ORC1/CDC6/PLK1/KANK2/FOXM1/TICRR/AURKB/CDK2/SMARCC1/TACC3/DDB1/SIN3A/PRKDC/SMARCD2/AMBRA1/TAOK3/CDC25A/ERCC3/CTC1/RCC1/ANAPC1/MAP3K20/CUL4B/BRCA1/GSPT1/DTL/ANLN/BIRC5/CDCA5/STIL/PKMYT1/GTSE1/CUL4A/CYP1A1/RBL2/BRSK2/EPS8/XRCC3/RCC2/CDC25C/CDC25B/JADE1/TFDP1/DONSON/TRIP13/CUL3/EIF4G1/CTDP1/DNM2/ANKRD17/CCNA2/BUB1B/CHMP7/RRM2/TOPBP1/PHF8/CCNB1/CLSPN/RBL1/BLM/CCNB2/SKP2/DPF2/TERT/E2F1/CENPF/CACNB4/RRM1/INCENP/BTN2A2/AKT1/FZR1/NEK6/KNTC1/KLF11/NUF2/SPC24/CDC27/CENPE/CDC23/ZW10/DLGAP5/EGFR/SMARCA4/LSM11",98
"GO:0033044","BP","GO:0033044","regulation of chromosome organization","65/1969","247/18888",0.263157894736842,2.52439122183315,8.22673135615245,1.0746226160832e-12,3.3279365647545e-10,2.82438210011008e-10,"ESPL1/NCAPD2/CDCA8/MAD1L1/HASPIN/NCAPD3/CDC20/NAT10/CDC6/PLK1/AURKB/CDK2/SMARCC1/MAP3K4/NCAPG2/TACC3/SMARCD2/CTC1/TOP2A/ANAPC1/UPF1/RMI2/MAP3K20/PARP1/NUMA1/CENPV/BIRC5/NCAPH/YLPM1/BAZ1B/SRC/XRCC3/PARN/TRIP13/CUL3/FEN1/BUB1B/ACTR5/MCPH1/PIF1/TRIM28/WAPL/CCNB1/GNL3L/NFRKB/RUVBL2/DPF2/RTEL1/ATF7IP/CENPF/NCAPG/INCENP/NEK6/TASOR/KNTC1/SETDB2/SLX4/NUF2/SPC24/CDC27/CENPE/CDC23/ZW10/DLGAP5/SMARCA4",65
"GO:0045787","BP","GO:0045787","positive regulation of cell cycle","79/1969","332/18888",0.237951807228916,2.28259712287443,8.04329735054821,1.28016362966818e-12,3.76624139848379e-10,3.19636645218203e-10,"SPAG5/ESPL1/CIT/NCAPD2/CDCA8/MAD1L1/FAM83D/AURKA/NCAPD3/FOSL1/CDC20/KIF14/CDC14B/CDC6/AURKB/NCAPG2/TTL/PTPN11/SIN3A/CDC25A/MAP3K20/PSRC1/CUL4B/NUMA1/LRP5/CENPV/DTL/BIRC5/NCAPH/CDCA5/STIL/RACGAP1/CUL4A/CYP1A1/MED1/XRCC3/RCC2/USP19/CDC25C/CDC25B/TFDP1/CUL3/E2F8/EIF4G1/ANKRD17/FEN1/FGFR2/HOXA13/SHB/RHNO1/RRM2/ABL1/MAP10/HCFC1/CCNB1/STAT5B/SSTR5/USP22/PRKCA/NUP62/TERT/DYNC1H1/KIF23/ECT2/NCAPG/RAD18/RRM1/INCENP/AKT1/INSR/ASNS/KIF20B/GPSM2/CDC23/SPHK1/DLGAP5/EGFR/PLK4/LSM11",79
