"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","20/1009","93/8542",0.21505376344086,1.82060381299487,2.91197947924253,0.00531170893217863,0.053760932828717,0.0464245054997431,"BIRC7/LAMA4/CDK2/E2F2/TRAF1/PIK3CD/AKT3/NFKB1/PTK2/COL4A2/ITGAV/TRAF3/LAMA2/LAMB3/SKP2/E2F1/TRAF2/AKT1/BCL2L1/ZBTB17",20
"hsa03440","Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","11/1009","41/8542",0.268292682926829,2.27131426913873,2.98624752017928,0.00655027591875836,0.0643468281430968,0.0555658081033991,"POLD1/RAD54L/RPA1/TOP3A/BRCA1/XRCC3/EME1/XRCC2/TOPBP1/PALB2/BLM",11
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","43/1009","250/8542",0.172,1.4561189296333,2.67876375732141,0.006801665081504,0.0649073182063524,0.0560498114987096,"VCL/CYTH3/PXN/HK2/HKDC1/ARHGEF2/ACTN1/CAPN2/IL18/ITPR3/DIAPH1/CD44/PIK3CD/HK1/DOCK1/AKT3/PLCG1/BCAR1/SEPTIN3/NFKB1/PTK2/SRC/MTOR/WASF1/PLCD3/ITGA5/ACTN4/FNBP1/TLN1/PIK3R4/BTRC/MAPK12/TRAF2/AKT1/PLCD1/SEPTIN9/BCL2L1/BCL10/FOXO6/PLCB3/TNFRSF1A/ARPC1B/EGFR",43
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","17/1009","77/8542",0.220779220779221,1.86907443399019,2.80352747072858,0.00743623437789359,0.0689917300615683,0.0595768485246446,"SMAD3/E2F2/PTPN11/PIK3CD/BCR/AKT3/NFKB1/HDAC1/CTBP2/ABL1/STAT5B/SHC1/E2F1/MAP2K2/AKT1/BCL2L1/SHC4",17
"hsa04981",NA,NA,"hsa04981","Folate transport and metabolism","9/1009","31/8542",0.290322580645161,2.45781514754308,2.97583584351369,0.00778920594567035,0.0700740927299806,0.0605115077466583,"ABCC2/MTHFD1/ABCC4/ABCC3/TYMS/SHMT1/SHMT2/ABCC1/MTHFR",9
"hsa04211","Organismal Systems","Aging","hsa04211","Longevity regulating pathway","19/1009","90/8542",0.211111111111111,1.7872260764233,2.74762172926511,0.00797250156808162,0.0700740927299806,0.0605115077466583,"PPARG/PRKAG2/CREB3L3/ADCY3/CREB3L1/PIK3CD/AKT3/NFKB1/MTOR/ATG13/EHMT1/CAMKK2/TSC2/ADCY5/AKT1/INSR/RB1CC1/STK11/EHMT2",19
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","35/1009","197/8542",0.177664974619289,1.50407751555795,2.61958942776008,0.00840184468309897,0.0719542595937194,0.062135099680678,"MYO10/KIF2C/KIF20A/MYO18A/KIF18B/KIF14/DNAH11/MYH14/MYH10/KIF4A/MYO1C/KIF22/DNAH2/TUBB4A/KIFC1/MYH15/KIFC3/MYH9/MYO19/MYO9B/KIF15/KIF1C/TUBA1C/KIFAP3/TUBG1/KIF4B/TUBB6/KIF11/KLC2/DYNC1H1/KIF23/TNNT1/KIF26A/KIF20B/CENPE",35
"hsa00970","Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","15/1009","66/8542",0.227272727272727,1.92404721146049,2.75795143809724,0.00879572717689558,0.0734443219270781,0.0634218222755102,"LARS2/AARS1/YARS1/PARS2/MARS1/CARS1/MARS2/IARS1/YARS2/TARS2/DARS2/GARS1/IARS2/CARS2/VARS1",15
"hsa04012","Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","18/1009","86/8542",0.209302325581395,1.77191324590315,2.63300201958935,0.0105565638564955,0.0820454328867452,0.0708491919664929,"ERBB3/PIK3CD/AKT3/PLCG1/ABL2/PTK2/SRC/MTOR/ABL1/STAT5B/SHC1/PRKCA/MAP2K2/ERBB2/AKT1/SHC4/PAK4/EGFR",18
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","20/1009","99/8542",0.202020202020202,1.71026418796488,2.60138768991827,0.0108083803802898,0.0820454328867452,0.0708491919664929,"ADCY3/NOTCH2/E2F2/PIK3CD/AKT3/PTK2/MED1/SRC/MTOR/SP1/NCOR1/SHC1/ADCY5/E2F1/MAP2K2/MAPK12/ERBB2/AKT1/SHC4/EGFR",20
